algorithm,instance,instance size,pop size,trunc size,max iters,iteration,best fitness,elapsed time in secs
rk-eda,N-be75eec,50,50,25,250000,250000,202442,41
rk-eda,tai20_5_8,20,20,10,40000,40000,16278,1
rk-eda,N-stabu70,60,6000,1200,360000,360000,305311,5571
rk-eda,N-be75eec,50,50,25,250000,250000,207627,44
rk-eda,N-be75eec,50,50,25,250000,250000,202683,25
rk-eda,tai20_20_8,20,20,6,40000,40000,35959,2
rk-eda,tai100_10_8,100,1000,300,1000000,1000000,359699,4734
rk-eda,tai100_10_8,100,1000,300,1000000,1000000,359864,7941
rk-eda,tai100_10_8,100,100,30,1000000,1000000,362616,821
rk-eda,tai20_20_8,20,20,6,40000,40000,36237,3
rk-eda,tai50_10_9,50,500,250,250000,250000,101129,649
rk-eda,tai20_20_8,20,20,10,40000,40000,35563,2
rk-eda,tai50_10_9,50,5000,1000,250000,250000,102309,3262
rk-eda,N-stabu70,60,6000,1200,360000,360000,303915,5530
rk-eda,tai100_10_8,100,10000,2000,1000000,1000000,352733,48189
rk-eda,tai50_10_9,50,500,250,250000,250000,103005,542
rk-eda,N-stabu70,60,60,12,360000,360000,286556,65
rk-eda,tai20_20_8,20,20,4,40000,40000,36145,2
rk-eda,N-be75eec,50,500,100,250000,250000,203721,258
rk-eda,tai50_10_9,50,50,10,250000,250000,104628,99
rk-eda,tai20_5_8,20,2000,1000,40000,40000,15849,95
