algorithm,instance,instance size,pop size,trunc size,max iters,iteration,best fitness,elapsed time in secs
rk-eda,N-be75eec,50,50,15,250000,250000,200930,51
rk-eda,N-stabu70,60,600,300,360000,360000,295868,583
rk-eda,tai50_10_9,50,5000,1000,250000,250000,101892,3538
rk-eda,N-be75eec,50,50,15,250000,250000,202402,25
rk-eda,tai20_5_8,20,2000,1000,40000,40000,15664,54
rk-eda,N-stabu70,60,60,30,360000,360000,286402,62
rk-eda,tai20_5_8,20,2000,600,40000,40000,15493,96
rk-eda,N-stabu70,60,60,30,360000,360000,295791,62
rk-eda,tai20_5_8,20,2000,400,40000,40000,15688,58
rk-eda,N-be75eec,50,50,15,250000,250000,201253,25
rk-eda,tai20_20_8,20,200,40,40000,40000,35369,15
rk-eda,tai100_10_8,100,100,30,1000000,1000000,363787,499
rk-eda,tai50_10_9,50,50,25,250000,250000,104442,32
rk-eda,tai20_5_8,20,2000,1000,40000,40000,15786,57
rk-eda,tai100_10_8,100,100,20,1000000,1000000,361714,495
rk-eda,N-be75eec,50,500,250,250000,250000,204686,423
rk-eda,N-stabu70,60,6000,3000,360000,360000,300627,5635
rk-eda,tai50_10_9,50,5000,1500,250000,250000,102865,3142
rk-eda,N-be75eec,50,500,150,250000,250000,203702,436
rk-eda,tai20_20_8,20,200,40,40000,40000,35581,26
rk-eda,tai20_5_8,20,2000,600,40000,40000,15576,96
rk-eda,N-be75eec,50,500,100,250000,250000,203714,278
rk-eda,tai20_5_8,20,2000,400,40000,40000,15464,58
rk-eda,tai100_10_8,100,100,50,1000000,1000000,364973,507
rk-eda,tai20_5_8,20,20,10,40000,40000,16441,1
rk-eda,tai20_20_8,20,200,100,40000,40000,36164,28
rk-eda,tai50_10_9,50,5000,1500,250000,250000,101511,3159
rk-eda,tai20_20_8,20,20,4,40000,40000,35556,2
rk-eda,tai100_10_8,100,100,20,1000000,1000000,365030,609
rk-eda,tai20_5_8,20,2000,1000,40000,40000,15581,97
rk-eda,tai100_10_8,100,10000,5000,1000000,1000000,359104,45476
rk-eda,tai20_5_8,20,20,10,40000,40000,16357,1
rk-eda,tai50_10_9,50,50,25,250000,250000,103931,64
rk-eda,N-stabu70,60,60,30,360000,360000,296985,93
rk-eda,tai50_10_9,50,500,100,250000,250000,102658,647
rk-eda,tai100_10_8,100,1000,200,1000000,1000000,358911,5719
rk-eda,tai50_10_9,50,500,100,250000,250000,103950,315
rk-eda,tai100_10_8,100,100,20,1000000,1000000,361860,498
rk-eda,tai20_20_8,20,2000,400,40000,40000,35277,252
rk-eda,tai100_10_8,100,10000,5000,1000000,1000000,356246,45989
rk-eda,N-be75eec,50,500,100,250000,250000,204692,541
rk-eda,tai20_20_8,20,200,40,40000,40000,35403,26
rk-eda,tai20_5_8,20,200,40,40000,40000,15784,5
rk-eda,tai20_20_8,20,2000,400,40000,40000,35217,252
rk-eda,tai50_10_9,50,5000,1000,250000,250000,101320,5215
rk-eda,tai20_20_8,20,2000,1000,40000,40000,35383,180
rk-eda,N-be75eec,50,5000,1500,250000,250000,205805,4128
rk-eda,N-be75eec,50,500,100,250000,250000,204762,522
rk-eda,N-stabu70,60,6000,1200,360000,360000,304919,5528
rk-eda,tai100_10_8,100,100,20,1000000,1000000,358965,902
rk-eda,tai50_10_9,50,50,15,250000,250000,103830,65
rk-eda,tai50_10_9,50,500,150,250000,250000,103806,323
rk-eda,tai50_10_9,50,500,250,250000,250000,102976,328
rk-eda,N-be75eec,50,500,250,250000,250000,204489,444
rk-eda,N-be75eec,50,5000,1500,250000,250000,207368,4493
rk-eda,tai50_10_9,50,500,250,250000,250000,104152,327
rk-eda,tai20_5_8,20,200,100,40000,40000,16178,10
rk-eda,tai20_20_8,20,2000,400,40000,40000,35277,154
rk-eda,tai20_5_8,20,200,60,40000,40000,15930,10
rk-eda,N-stabu70,60,6000,3000,360000,360000,301262,5700
rk-eda,N-be75eec,50,50,10,250000,250000,203587,25
rk-eda,tai20_20_8,20,2000,1000,40000,40000,35481,275
rk-eda,N-stabu70,60,600,180,360000,360000,299854,576
rk-eda,tai20_5_8,20,20,6,40000,40000,15880,1
rk-eda,tai100_10_8,100,1000,200,1000000,1000000,360233,4622
rk-eda,N-stabu70,60,600,120,360000,360000,302047,568
rk-eda,tai20_20_8,20,2000,400,40000,40000,35019,271
rk-eda,N-stabu70,60,6000,1200,360000,360000,304957,5666
rk-eda,N-stabu70,60,60,30,360000,360000,286355,62
rk-eda,tai100_10_8,100,1000,300,1000000,1000000,357484,4658
rk-eda,N-be75eec,50,50,25,250000,250000,203409,44
rk-eda,tai50_10_9,50,5000,1000,250000,250000,102253,3649
rk-eda,N-stabu70,60,600,300,360000,360000,292956,587
rk-eda,tai50_10_9,50,50,25,250000,250000,104732,33
rk-eda,N-be75eec,50,500,150,250000,250000,206739,430
rk-eda,N-be75eec,50,500,150,250000,250000,205728,266
rk-eda,N-be75eec,50,50,15,250000,250000,199952,43
rk-eda,tai100_10_8,100,100,30,1000000,1000000,360670,499
rk-eda,N-be75eec,50,50,10,250000,250000,204036,42
rk-eda,N-stabu70,60,6000,1800,360000,360000,304769,5555
rk-eda,tai50_10_9,50,500,100,250000,250000,103951,347
rk-eda,N-stabu70,60,600,180,360000,360000,295649,577
rk-eda,N-be75eec,50,500,150,250000,250000,203481,483
rk-eda,tai100_10_8,100,10000,5000,1000000,1000000,357627,46200
rk-eda,tai20_20_8,20,20,6,40000,40000,36317,1
rk-eda,tai20_5_8,20,200,40,40000,40000,15920,6
rk-eda,tai20_5_8,20,2000,400,40000,40000,15727,58
rk-eda,tai20_5_8,20,200,60,40000,40000,15984,5
rk-eda,N-stabu70,60,60,12,360000,360000,291891,60
rk-eda,tai20_5_8,20,2000,400,40000,40000,15590,57
rk-eda,tai20_20_8,20,200,40,40000,40000,35781,15
rk-eda,tai50_10_9,50,50,10,250000,250000,104947,66
rk-eda,tai20_20_8,20,20,10,40000,40000,36729,2
rk-eda,tai20_20_8,20,20,10,40000,40000,35613,1
rk-eda,tai50_10_9,50,50,15,250000,250000,104972,33
rk-eda,tai20_5_8,20,200,40,40000,40000,15706,6
rk-eda,N-be75eec,50,50,25,250000,250000,201003,52
rk-eda,N-be75eec,50,5000,1500,250000,250000,206062,4593
rk-eda,tai20_20_8,20,200,100,40000,40000,35465,27
rk-eda,N-be75eec,50,5000,2500,250000,250000,204928,4016
rk-eda,tai50_10_9,50,500,250,250000,250000,101742,653
rk-eda,tai20_20_8,20,2000,400,40000,40000,35256,154
rk-eda,tai50_10_9,50,50,10,250000,250000,104988,33
rk-eda,N-stabu70,60,60,12,360000,360000,285693,60
