instance,repetition,algorithm,best fitness,elapsed time in secs,pop size,trunc size
N-stabu70,4919544,PLEDA,358754.000,877.998,600,120
N-stabu1_250,3011241,PLEDA,7347768.000,170458.773,250,125
N-be75eec,2825036,PLEDA,232226.000,166.378,50,10
N-stabu1_250,4329280,PLEDA,7455100.000,144920.317,25000,5000
N-be75eec,6112802,PLEDA,233123.000,574.208,5000,1000
N-be75eec,1510927,PLEDA,234028.000,1460.590,500,250
N-t59b11xx,6724975,PLEDA,209115.000,396.549,440,88
N-stabu1_250,6220994,PLEDA,7445033.000,223465.892,25000,7500
N-be75eec,7110630,PLEDA,233249.000,740.506,5000,1500
N-stabu70,5432358,PLEDA,357660.000,4158.806,6000,3000
N-be75eec_150,3413158,PLEDA,3336519.000,20145.808,15000,3000
N-t59b11xx,3016353,PLEDA,207770.000,163.642,44,22
N-be75eec,487389,PLEDA,234273.000,1222.575,50,25
N-be75eec,8827337,PLEDA,233120.000,570.357,5000,1000
N-stabu1_250,6621352,PLEDA,7419513.000,168028.649,250,125
N-stabu1_250,631850,PLEDA,7428641.000,312380.543,25000,12500
N-be75eec_150,903068,PLEDA,3323223.000,109792.464,15000,7500
N-stabu70,420453,PLEDA,358109.000,980.277,600,120
N-t59b11xx,1023287,PLEDA,206430.000,70.516,44,8
N-stabu1_250,766660,PLEDA,7443929.000,294058.453,2500,500
N-stabu70,7110026,PLEDA,357994.000,1896.608,6000,1800
N-t59b11xx,4926785,PLEDA,207995.000,550.885,440,88
