instance,repetition,algorithm,best fitness,elapsed time in secs,pop size,trunc size
N-stabu70,1718967,PLEDA,357726.000,1412.060,6000,1800
N-t59b11xx,2410597,PLEDA,208955.000,986.443,440,220
N-be75eec_150,772306,PLEDA,3343241.000,36575.509,1500,450
N-be75eec,301788,PLEDA,234104.000,1406.702,50,25
N-be75eec,461985,PLEDA,232569.000,85.408,50,10
N-be75eec_150,1424663,PLEDA,3348011.000,37364.381,1500,450
N-stabu70,6613485,PLEDA,355833.000,1208.466,60,30
N-t59b11xx,6914123,PLEDA,208905.000,1361.722,440,220
N-be75eec_150,1212112,PLEDA,3299934.000,39401.025,150,75
N-be75eec_150,6710261,PLEDA,3339572.000,29042.313,1500,300
N-stabu70,88717,PLEDA,357920.000,1455.094,6000,1800
N-t59b11xx,13205,PLEDA,206210.000,59.120,44,8
N-stabu70,345840,PLEDA,357971.000,1682.424,6000,1200
N-be75eec_150,8331784,PLEDA,3260681.000,17183.200,150,45
N-stabu70,3710359,PLEDA,352711.000,230.798,60,12
N-t59b11xx,83924,PLEDA,208145.000,829.332,4400,1320
N-stabu1_250,4913304,PLEDA,7482566.000,89813.561,2500,500
N-be75eec_150,308559,PLEDA,3308587.000,65284.312,150,75
N-be75eec,3721697,PLEDA,232406.000,154.912,50,10
N-be75eec,5423662,PLEDA,233097.000,1396.802,5000,2500
N-t59b11xx,8819200,PLEDA,208145.000,558.430,4400,880
N-stabu70,512644,PLEDA,357690.000,2062.773,600,180
N-t59b11xx,2615526,PLEDA,208735.000,532.130,4400,1320
N-stabu70,565194,PLEDA,356321.000,336.278,60,18
N-stabu70,6026727,PLEDA,358402.000,4046.102,600,300
N-be75eec_150,4127666,PLEDA,3328535.000,43270.155,1500,450
N-be75eec_150,5531675,PLEDA,3288977.000,6950.485,150,30
N-t59b11xx,397292,PLEDA,208490.000,223.849,44,22
N-be75eec,4823034,PLEDA,233878.000,1037.382,50,25
N-stabu70,3810765,PLEDA,353759.000,567.590,60,18
N-be75eec_150,2223806,PLEDA,3323013.000,16073.057,1500,300
N-stabu70,618051,PLEDA,357723.000,987.744,6000,1200
N-be75eec,6211862,PLEDA,233116.000,833.725,5000,1500
N-stabu1_250,5016989,PLEDA,7458789.000,139515.783,2500,750
N-stabu1_250,6431350,PLEDA,7244940.000,55357.461,250,50
N-be75eec,314282,PLEDA,233991.000,1750.126,50,25
N-be75eec_150,505026,PLEDA,3357724.000,25343.128,1500,450
N-t59b11xx,5829218,PLEDA,208480.000,397.161,440,88
N-t59b11xx,8728167,PLEDA,208825.000,858.036,440,220
N-be75eec_150,5329823,PLEDA,3333975.000,57940.478,15000,4500
N-stabu1_250,1228819,PLEDA,7368953.000,280383.571,250,125
N-t59b11xx,2015425,PLEDA,207490.000,73.773,44,13
N-be75eec,5223045,PLEDA,233124.000,564.507,5000,1000
N-stabu1_250,545294,PLEDA,7448356.000,318494.309,25000,12500
N-stabu1_250,5818809,PLEDA,7452609.000,100537.263,2500,500
N-stabu70,6415830,PLEDA,354157.000,189.348,60,12
N-stabu70,517631,PLEDA,357709.000,3582.833,600,300
N-be75eec_150,8611257,PLEDA,3326954.000,25703.712,1500,450
N-be75eec_150,351237,PLEDA,3338870.000,44621.343,15000,4500
N-stabu1_250,415258,PLEDA,7446577.000,216144.285,2500,500
N-t59b11xx,6029899,PLEDA,208135.000,983.170,440,220
N-stabu1_250,4819787,PLEDA,7335360.000,185621.283,250,125
N-stabu70,84505,PLEDA,356877.000,1127.893,60,30
N-be75eec,4532747,PLEDA,233116.000,2105.667,5000,2500
N-stabu70,6817888,PLEDA,357916.000,1811.711,600,180
N-t59b11xx,4511630,PLEDA,208115.000,1469.428,4400,2200
N-be75eec,4916014,PLEDA,234723.000,935.841,500,100
N-stabu1_250,8429444,PLEDA,7410744.000,181777.120,250,125
N-t59b11xx,6510684,PLEDA,207710.000,69.378,44,13
N-stabu70,3215127,PLEDA,358392.000,2380.485,600,180
N-t59b11xx,1322787,PLEDA,207850.000,557.929,440,88
N-stabu1_250,4319837,PLEDA,7448358.000,140840.942,25000,5000
N-stabu1_250,5515730,PLEDA,7277400.000,54477.210,250,50
N-be75eec,268236,PLEDA,233117.000,1206.447,5000,1500
N-be75eec,8418951,PLEDA,234657.000,1497.176,50,25
N-be75eec_150,3314701,PLEDA,3313482.000,40038.586,1500,750
N-stabu70,7914251,PLEDA,357669.000,1467.056,6000,1200
N-stabu1_250,6715792,PLEDA,7455990.000,91923.171,2500,500
N-be75eec_150,8820028,PLEDA,3329064.000,45276.515,15000,3000
N-stabu70,2318857,PLEDA,355538.000,1455.038,600,180
N-t59b11xx,6610165,PLEDA,208150.000,245.588,44,22
N-be75eec,7910875,PLEDA,233126.000,576.994,5000,1000
N-be75eec,5816906,PLEDA,234941.000,592.560,500,100
N-stabu1_250,392736,PLEDA,7370406.000,188987.224,250,125
N-stabu70,3421162,PLEDA,357941.000,964.504,6000,1200
N-be75eec,638825,PLEDA,233160.000,2220.584,5000,2500
N-stabu70,8612683,PLEDA,356676.000,1997.408,600,180
N-stabu1_250,523569,PLEDA,7442804.000,225679.000,25000,5000
N-be75eec_150,571175,PLEDA,3339072.000,39437.315,150,75
N-be75eec,4729544,PLEDA,233639.000,220.862,50,15
N-be75eec_150,2232747,PLEDA,3338487.000,16531.111,1500,300
N-t59b11xx,256186,PLEDA,208765.000,368.409,4400,880
N-t59b11xx,6314796,PLEDA,208125.000,797.571,4400,2200
N-stabu70,339041,PLEDA,356811.000,2434.471,600,300
N-be75eec_150,512713,PLEDA,3339378.000,41827.415,1500,750
N-stabu1_250,751919,PLEDA,7406236.000,241634.878,250,125
N-be75eec_150,7927986,PLEDA,3339258.000,56945.410,15000,3000
N-stabu1_250,2012054,PLEDA,7314216.000,153899.385,250,75
N-be75eec,1623389,PLEDA,233124.000,860.164,5000,1000
N-be75eec_150,325264,PLEDA,3342533.000,39696.198,150,75
N-t59b11xx,7111260,PLEDA,208145.000,547.141,4400,1320
N-be75eec,3410798,PLEDA,233103.000,565.967,5000,1000
N-stabu70,5915409,PLEDA,355982.000,1302.672,600,180
N-be75eec_150,2713259,PLEDA,3327625.000,67284.603,15000,7500
N-t59b11xx,1429549,PLEDA,208360.000,902.711,440,132
N-be75eec,694495,PLEDA,233240.000,1455.218,500,250
N-stabu70,162178,PLEDA,357775.000,928.356,6000,1200
N-be75eec_150,1613933,PLEDA,3341084.000,24964.375,15000,3000
N-stabu70,639810,PLEDA,357700.000,4553.002,6000,3000
N-t59b11xx,722131,PLEDA,208655.000,554.621,4400,880
N-stabu70,8931328,PLEDA,357982.000,1483.885,6000,1800
N-t59b11xx,1113927,PLEDA,207510.000,142.310,44,13
N-be75eec_150,581131,PLEDA,3349803.000,16291.815,1500,300
N-t59b11xx,5625695,PLEDA,207360.000,95.525,44,13
N-be75eec_150,6212455,PLEDA,3339863.000,39579.728,15000,4500
N-stabu1_250,6212614,PLEDA,7449348.000,182408.348,25000,7500
N-be75eec,1314170,PLEDA,233936.000,586.417,500,100
N-stabu1_250,2419730,PLEDA,7466081.000,223951.311,2500,1250
N-t59b11xx,6230518,PLEDA,208145.000,514.256,4400,1320
