instance,problem,problem size,max evaluations,batch size,noise length,hidden dim,prehead layers,num samples,learning rate,utility function,device,iterations,elapsed time in secs,best fitness,num trainable params
N-stabu70,lop,60,3600000,32,128,128,1,64,0.001,standarized_utility,cuda:0,1757,49.80962777137756,358892.0,24252
tai20_20_8.fsp,pfsp,20,400000,32,256,1024,2,64,0.01,standarized_utility,cuda:0,195,12.44527006149292,35819.0,26470610
N-be75eec_150,lop,150,22500000,32,64,128,1,64,0.0001,standarized_utility,cuda:0,10986,794.2480356693268,3385418.0,27670
N-be75eec,lop,50,2500000,32,64,128,2,64,0.0001,standarized_utility,cuda:0,1220,55.34974479675293,234224.0,31282
N-stabu70,lop,60,3600000,32,128,1024,1,64,0.0001,standarized_utility,cuda:0,1757,110.43946194648743,358945.0,193596
tai100_10_9.fsp,pfsp,100,10000000,32,64,512,1,64,0.01,standarized_utility,cuda:0,4882,1407.6413469314575,306089.0,5918650
tai20_5_8.fsp,pfsp,20,400000,32,256,128,2,64,0.0001,standarized_utility,cuda:0,195,9.875629901885986,15017.0,1015250
tai20_20_8.fsp,pfsp,20,400000,32,128,1024,1,64,0.01,standarized_utility,cuda:0,195,11.612725734710693,34335.0,2857170
tai50_10_9.fsp,pfsp,50,2500000,32,128,1024,1,64,0.001,standarized_utility,cuda:0,1220,99.49228167533875,93631.0,7911675
N-be75eec_150,lop,150,22500000,32,64,1024,2,64,0.01,standarized_utility,cuda:0,10986,809.3074021339417,2924316.0,1269910
N-stabu1_250,lop,250,62500000,32,256,128,1,64,0.0001,standarized_utility,cuda:0,30517,4190.103134632111,7549376.0,65146
N-stabu1_250,lop,250,62500000,32,64,1024,2,64,0.0001,standarized_utility,cuda:0,30517,6438.667162895203,7556352.0,1372410
tai200_10_9.fsp,pfsp,200,40000000,32,256,1024,3,64,0.001,standarized_utility,cuda:0,19531,9767.076142311096,1101843.0,493076100
N-t59b11xx,lop,44,1936000,32,64,512,2,64,0.001,standarized_utility,cuda:0,945,23.736966609954834,208735.0,318508
N-stabu1_250,lop,250,62500000,32,64,128,2,64,0.0001,standarized_utility,cuda:0,30517,4137.576266527176,7559365.0,57082
N-be75eec,lop,50,2500000,32,128,128,2,64,0.0001,standarized_utility,cuda:0,1220,60.701470136642456,234169.0,39474
N-be75eec_150,lop,150,22500000,32,256,128,3,64,0.01,standarized_utility,cuda:0,10986,1489.6085333824158,3201883.0,85270
N-stabu1_250,lop,250,62500000,32,128,1024,3,64,0.01,standarized_utility,cuda:0,30517,6656.465995550156,6482815.0,2487546
tai20_5_8.fsp,pfsp,20,400000,32,128,512,3,64,0.0001,standarized_utility,cuda:0,195,16.458142042160034,14608.0,11934930
N-t59b11xx,lop,44,1936000,32,64,128,1,64,0.001,standarized_utility,cuda:0,945,23.575520277023315,208175.0,13996
N-be75eec,lop,50,2500000,32,256,1024,2,64,0.0001,standarized_utility,cuda:0,1220,29.664239645004272,234159.0,1364018
N-be75eec_150,lop,150,22500000,32,128,512,2,64,0.0001,standarized_utility,cuda:0,10986,829.5536835193634,3373477.0,405654
N-stabu1_250,lop,250,62500000,32,256,512,3,64,0.0001,standarized_utility,cuda:0,30517,7294.560960531235,7509620.0,785146
tai50_10_9.fsp,pfsp,50,2500000,32,128,1024,2,64,0.0001,standarized_utility,cuda:0,1220,199.5586817264557,92006.0,60391675
N-stabu1_250,lop,250,62500000,32,64,512,1,64,0.001,standarized_utility,cuda:0,30517,7359.25400185585,7558313.0,161530
tai200_10_9.fsp,pfsp,200,40000000,32,256,128,1,64,0.001,standarized_utility,cuda:0,19531,7037.170867204666,1077214.0,9172100
N-stabu70,lop,60,3600000,32,64,1024,1,64,0.001,standarized_utility,cuda:0,1757,111.08553671836853,357540.0,128060
N-be75eec,lop,50,2500000,32,64,512,1,64,0.001,standarized_utility,cuda:0,1220,52.65783929824829,234273.0,58930
tai20_20_8.fsp,pfsp,20,400000,32,256,128,2,64,0.01,standarized_utility,cuda:0,195,19.998796939849854,33990.0,1015250
N-stabu70,lop,60,3600000,32,256,128,3,64,0.01,standarized_utility,cuda:0,1757,114.8573431968689,352841.0,73660
tai20_20_8.fsp,pfsp,20,400000,32,128,1024,2,64,0.0001,standarized_utility,cuda:0,195,17.94530177116394,33851.0,23849170
N-stabu70,lop,60,3600000,32,64,512,3,64,0.0001,standarized_utility,cuda:0,1757,107.83179593086243,358107.0,589372
N-be75eec_150,lop,150,22500000,32,256,512,1,64,0.01,standarized_utility,cuda:0,10986,830.1348776817322,3318496.0,208534
tai100_10_9.fsp,pfsp,100,10000000,32,128,1024,1,64,0.01,standarized_utility,cuda:0,4882,839.3407139778137,311673.0,18385850
tai50_10_9.fsp,pfsp,50,2500000,32,128,512,1,64,0.01,standarized_utility,cuda:0,1220,149.5839397907257,93310.0,3956475
N-be75eec_150,lop,150,22500000,32,128,1024,1,64,0.001,standarized_utility,cuda:0,10986,782.3604907989502,3355114.0,285846
N-be75eec,lop,50,2500000,32,64,512,2,64,0.0001,standarized_utility,cuda:0,1220,58.148499727249146,233973.0,321586
N-be75eec,lop,50,2500000,32,64,128,3,64,0.01,standarized_utility,cuda:0,1220,58.9447226524353,230997.0,47794
tai50_10_9.fsp,pfsp,50,2500000,32,64,512,3,64,0.001,standarized_utility,cuda:0,1220,124.38568568229675,94057.0,28583675
N-t59b11xx,lop,44,1936000,32,256,128,3,64,0.0001,standarized_utility,cuda:0,945,24.318415880203247,208605.0,71596
tai100_10_9.fsp,pfsp,100,10000000,32,128,512,2,64,0.001,standarized_utility,cuda:0,4882,892.6002278327942,305900.0,35461050
N-be75eec,lop,50,2500000,32,128,512,2,64,0.01,standarized_utility,cuda:0,1220,59.69613265991211,232151.0,354354
tai20_20_8.fsp,pfsp,20,400000,32,128,512,3,64,0.0001,standarized_utility,cuda:0,195,22.34964656829834,33879.0,11934930
N-be75eec_150,lop,150,22500000,32,256,512,2,64,0.0001,standarized_utility,cuda:0,10986,787.0498411655426,3363793.0,471190
N-t59b11xx,lop,44,1936000,32,256,128,2,64,0.0001,standarized_utility,cuda:0,945,23.912116289138794,208930.0,55084
N-be75eec_150,lop,150,22500000,32,128,512,3,64,0.0001,standarized_utility,cuda:0,10986,1477.5257267951965,3319293.0,668310
N-be75eec_150,lop,150,22500000,32,256,128,2,64,0.01,standarized_utility,cuda:0,10986,1331.832035779953,3255996.0,68758
N-stabu70,lop,60,3600000,32,256,1024,3,64,0.0001,standarized_utility,cuda:0,1757,93.7088258266449,357711.0,2423868
N-be75eec,lop,50,2500000,32,128,1024,2,64,0.001,standarized_utility,cuda:0,1220,59.494629859924316,233967.0,1232946
tai20_20_8.fsp,pfsp,20,400000,32,256,512,2,64,0.0001,standarized_utility,cuda:0,195,19.461097478866577,33981.0,7992530
N-be75eec_150,lop,150,22500000,32,64,128,2,64,0.001,standarized_utility,cuda:0,10986,778.6265032291412,3367240.0,44182
N-t59b11xx,lop,44,1936000,32,64,1024,1,64,0.001,standarized_utility,cuda:0,945,23.594051599502563,208200.0,111660
N-t59b11xx,lop,44,1936000,32,256,512,1,64,0.0001,standarized_utility,cuda:0,945,29.96007800102234,207645.0,154156
N-be75eec_150,lop,150,22500000,32,64,512,1,64,0.001,standarized_utility,cuda:0,10986,1527.606228351593,3365638.0,110230
N-t75d11xx,lop,44,1936000,32,64,128,3,64,0.01,standarized_utility,cuda:0,945,40.35195183753967,558508.0,47020
tai20_5_8.fsp,pfsp,20,400000,32,256,512,1,64,0.001,standarized_utility,cuda:0,195,11.063335418701172,14558.0,2739410
N-stabu1_250,lop,250,62500000,32,256,128,3,64,0.0001,standarized_utility,cuda:0,30517,4250.895788669586,7486381.0,98170
tai20_20_8.fsp,pfsp,20,400000,32,128,512,3,64,0.0001,standarized_utility,cuda:0,195,20.128165245056152,33872.0,11934930
N-be75eec,lop,50,2500000,32,64,128,1,64,0.0001,standarized_utility,cuda:0,1220,28.818729877471924,230879.0,14770
N-be75eec_150,lop,150,22500000,32,64,1024,1,64,0.001,standarized_utility,cuda:0,10986,786.3230578899384,3366928.0,220310
N-t75d11xx,lop,44,1936000,32,256,128,3,64,0.0001,standarized_utility,cuda:0,945,40.8786723613739,573904.0,71596
N-be75eec,lop,50,2500000,32,128,512,1,64,0.01,standarized_utility,cuda:0,1220,30.714784145355225,234218.0,91698
N-stabu70,lop,60,3600000,32,128,128,1,64,0.01,standarized_utility,cuda:0,1757,82.18599033355713,357565.0,24252
N-stabu70,lop,60,3600000,32,128,512,3,64,0.01,standarized_utility,cuda:0,1757,53.122472047805786,332900.0,622140
N-be75eec_150,lop,150,22500000,32,64,512,2,64,0.01,standarized_utility,cuda:0,10986,801.5680675506592,3195193.0,372886
tai20_5_8.fsp,pfsp,20,400000,32,256,1024,3,64,0.01,standarized_utility,cuda:0,195,13.97996211051941,16226.0,47462610
tai100_10_9.fsp,pfsp,100,10000000,32,256,128,3,64,0.001,standarized_utility,cuda:0,4882,942.9804227352142,307692.0,7243450
N-be75eec,lop,50,2500000,32,64,512,2,64,0.01,standarized_utility,cuda:0,1220,61.23450303077698,232967.0,321586
N-t59b11xx,lop,44,1936000,32,256,1024,1,64,0.0001,standarized_utility,cuda:0,945,24.312392950057983,207785.0,308268
tai20_5_8.fsp,pfsp,20,400000,32,256,1024,2,64,0.001,standarized_utility,cuda:0,195,16.64368176460266,14670.0,26470610
N-stabu70,lop,60,3600000,32,256,1024,1,64,0.01,standarized_utility,cuda:0,1757,85.96036672592163,356864.0,324668
tai20_5_8.fsp,pfsp,20,400000,32,128,128,3,64,0.01,standarized_utility,cuda:0,195,19.358492374420166,15004.0,1017810
N-stabu70,lop,60,3600000,32,128,512,2,64,0.001,standarized_utility,cuda:0,1757,52.687273025512695,358460.0,359484
N-t75d11xx,lop,44,1936000,32,256,1024,1,64,0.0001,standarized_utility,cuda:0,945,41.58479571342468,574270.0,308268
N-stabu1_250,lop,250,62500000,32,128,512,3,64,0.01,standarized_utility,cuda:0,30517,4230.35223031044,6708076.0,719610
N-t75d11xx,lop,44,1936000,32,64,128,1,64,0.001,standarized_utility,cuda:0,945,23.316728115081787,575859.0,13996
N-t75d11xx,lop,44,1936000,32,128,128,2,64,0.01,standarized_utility,cuda:0,945,38.62042284011841,566135.0,38700
N-be75eec,lop,50,2500000,32,128,1024,2,64,0.01,standarized_utility,cuda:0,1220,32.81990885734558,220472.0,1232946
tai20_5_8.fsp,pfsp,20,400000,32,64,1024,3,64,0.01,standarized_utility,cuda:0,195,20.789478063583374,15981.0,43530450
N-be75eec_150,lop,150,22500000,32,128,1024,1,64,0.0001,standarized_utility,cuda:0,10986,806.5351285934448,3377819.0,285846
tai200_10_9.fsp,pfsp,200,40000000,32,256,512,1,64,0.0001,standarized_utility,cuda:0,19531,12890.960629224777,1073932.0,36628100
tai50_10_9.fsp,pfsp,50,2500000,32,64,512,1,64,0.0001,standarized_utility,cuda:0,1220,156.18878269195557,91983.0,2318075
tai20_5_8.fsp,pfsp,20,400000,32,256,128,3,64,0.001,standarized_utility,cuda:0,195,11.751474618911743,14654.0,1345490
N-t75d11xx,lop,44,1936000,32,128,128,2,64,0.0001,standarized_utility,cuda:0,945,40.83243680000305,574199.0,38700
tai50_10_9.fsp,pfsp,50,2500000,32,256,512,3,64,0.001,standarized_utility,cuda:0,1220,226.471360206604,95198.0,33498875
N-stabu70,lop,60,3600000,32,64,128,3,64,0.01,standarized_utility,cuda:0,1757,84.74012637138367,353237.0,49084
tai20_20_8.fsp,pfsp,20,400000,32,256,1024,1,64,0.001,standarized_utility,cuda:0,195,14.891653060913086,33981.0,5478610
N-stabu1_250,lop,250,62500000,32,256,1024,3,64,0.01,standarized_utility,cuda:0,30517,7413.705512523651,6358353.0,2618618
N-t59b11xx,lop,44,1936000,32,64,512,1,64,0.0001,standarized_utility,cuda:0,945,38.59646010398865,207560.0,55852
N-be75eec_150,lop,150,22500000,32,256,1024,2,64,0.0001,standarized_utility,cuda:0,10986,789.9401261806488,3370008.0,1466518
tai50_10_9.fsp,pfsp,50,2500000,32,64,512,2,64,0.01,standarized_utility,cuda:0,1220,174.01215076446533,96485.0,15450875
N-stabu70,lop,60,3600000,32,256,512,1,64,0.01,standarized_utility,cuda:0,1757,99.61714506149292,358791.0,162364
tai20_5_8.fsp,pfsp,20,400000,32,64,128,3,64,0.0001,standarized_utility,cuda:0,195,10.249244689941406,14739.0,853970
tai100_10_9.fsp,pfsp,100,10000000,32,256,512,3,64,0.0001,standarized_utility,cuda:0,4882,1773.269104719162,305020.0,68280250
N-t59b11xx,lop,44,1936000,32,256,1024,1,64,0.0001,standarized_utility,cuda:0,945,23.938416242599487,207925.0,308268
tai50_10_9.fsp,pfsp,50,2500000,32,256,1024,2,64,0.01,standarized_utility,cuda:0,1220,191.85437059402466,101036.0,66945275
tai50_10_9.fsp,pfsp,50,2500000,32,128,1024,3,64,0.0001,standarized_utility,cuda:0,1220,137.01469492912292,92377.0,112871675
N-be75eec,lop,50,2500000,32,64,1024,2,64,0.001,standarized_utility,cuda:0,1220,58.47078800201416,234208.0,1167410
N-be75eec_150,lop,150,22500000,32,256,128,1,64,0.001,standarized_utility,cuda:0,10986,1428.8120820522308,3384759.0,52246
tai50_10_9.fsp,pfsp,50,2500000,32,256,1024,2,64,0.01,standarized_utility,cuda:0,1220,225.6985023021698,98718.0,66945275
N-t59b11xx,lop,44,1936000,32,64,512,2,64,0.001,standarized_utility,cuda:0,945,24.087782382965088,208500.0,318508
N-be75eec,lop,50,2500000,32,256,512,1,64,0.0001,standarized_utility,cuda:0,1220,57.077715158462524,233023.0,157234
tai20_5_8.fsp,pfsp,20,400000,32,128,512,1,64,0.01,standarized_utility,cuda:0,195,15.427115201950073,14729.0,1428690
N-be75eec_150,lop,150,22500000,32,256,1024,3,64,0.001,standarized_utility,cuda:0,10986,800.5167558193207,3276828.0,2516118
tai20_5_8.fsp,pfsp,20,400000,32,256,1024,2,64,0.0001,standarized_utility,cuda:0,195,12.072274684906006,14635.0,26470610
N-stabu70,lop,60,3600000,32,256,128,2,64,0.0001,standarized_utility,cuda:0,1757,109.40642023086548,358026.0,57148
N-stabu1_250,lop,250,62500000,32,64,128,1,64,0.01,standarized_utility,cuda:0,30517,7522.36159825325,7541665.0,40570
tai20_5_8.fsp,pfsp,20,400000,32,64,1024,2,64,0.001,standarized_utility,cuda:0,195,10.204064130783081,14776.0,22538450
tai200_10_9.fsp,pfsp,200,40000000,32,256,128,1,64,0.01,standarized_utility,cuda:0,19531,8714.134112119675,1078945.0,9172100
tai100_10_9.fsp,pfsp,100,10000000,32,128,512,1,64,0.0001,standarized_utility,cuda:0,4882,807.5564205646515,306399.0,9195450
tai200_10_9.fsp,pfsp,200,40000000,32,128,1024,2,64,0.0001,standarized_utility,cuda:0,19531,8775.888428926468,1075336.0,256941700
N-stabu70,lop,60,3600000,32,128,128,2,64,0.0001,standarized_utility,cuda:0,1757,95.14155435562134,358706.0,40764
N-t59b11xx,lop,44,1936000,32,64,512,2,64,0.001,standarized_utility,cuda:0,945,28.153886795043945,208995.0,318508
N-be75eec_150,lop,150,22500000,32,256,128,2,64,0.01,standarized_utility,cuda:0,10986,1504.8865921497345,3280456.0,68758
N-stabu70,lop,60,3600000,32,256,512,1,64,0.01,standarized_utility,cuda:0,1757,100.29620575904846,356986.0,162364
N-stabu70,lop,60,3600000,32,64,1024,2,64,0.01,standarized_utility,cuda:0,1757,91.96766972541809,341225.0,1177660
tai100_10_9.fsp,pfsp,100,10000000,32,256,512,2,64,0.001,standarized_utility,cuda:0,4882,1540.2847986221313,308106.0,42014650
tai200_10_9.fsp,pfsp,200,40000000,32,128,128,3,64,0.0001,standarized_utility,cuda:0,19531,12768.827490329742,1070787.0,12500100
tai100_10_9.fsp,pfsp,100,10000000,32,256,1024,1,64,0.0001,standarized_utility,cuda:0,4882,836.5430972576141,306019.0,31493050
tai100_10_9.fsp,pfsp,100,10000000,32,256,512,3,64,0.0001,standarized_utility,cuda:0,4882,1946.8766708374023,306860.0,68280250
N-be75eec,lop,50,2500000,32,128,512,2,64,0.001,standarized_utility,cuda:0,1220,38.929969787597656,234004.0,354354
tai20_5_8.fsp,pfsp,20,400000,32,64,512,2,64,0.0001,standarized_utility,cuda:0,195,10.109130620956421,14693.0,6026450
tai20_20_8.fsp,pfsp,20,400000,32,128,128,1,64,0.0001,standarized_utility,cuda:0,195,19.109752416610718,34658.0,357330
N-stabu70,lop,60,3600000,32,128,128,2,64,0.0001,standarized_utility,cuda:0,1757,96.04494595527649,359495.0,40764
tai100_10_9.fsp,pfsp,100,10000000,32,128,1024,1,64,0.0001,standarized_utility,cuda:0,4882,851.6544749736786,304259.0,18385850
N-t75d11xx,lop,44,1936000,32,64,512,2,64,0.0001,standarized_utility,cuda:0,945,23.980690479278564,577733.0,318508
tai20_5_8.fsp,pfsp,20,400000,32,256,1024,3,64,0.01,standarized_utility,cuda:0,195,17.216872692108154,16257.0,47462610
N-be75eec,lop,50,2500000,32,128,128,3,64,0.0001,standarized_utility,cuda:0,1220,56.9907431602478,234009.0,55986
N-stabu1_250,lop,250,62500000,32,128,1024,1,64,0.001,standarized_utility,cuda:0,30517,7413.309550523758,7556216.0,388346
tai100_10_9.fsp,pfsp,100,10000000,32,128,512,1,64,0.0001,standarized_utility,cuda:0,4882,1342.255422592163,303221.0,9195450
tai20_20_8.fsp,pfsp,20,400000,32,128,1024,1,64,0.0001,standarized_utility,cuda:0,195,18.237734079360962,33845.0,2857170
tai100_10_9.fsp,pfsp,100,10000000,32,64,512,3,64,0.01,standarized_utility,cuda:0,4882,1677.681807756424,321745.0,58449850
N-t59b11xx,lop,44,1936000,32,256,512,2,64,0.0001,standarized_utility,cuda:0,945,41.26799941062927,208755.0,416812
tai20_20_8.fsp,pfsp,20,400000,32,64,128,3,64,0.01,standarized_utility,cuda:0,195,21.064573287963867,33984.0,853970
N-stabu1_250,lop,250,62500000,32,64,1024,3,64,0.001,standarized_utility,cuda:0,30517,7421.228932857513,7263227.0,2422010
tai50_10_9.fsp,pfsp,50,2500000,32,256,512,3,64,0.01,standarized_utility,cuda:0,1220,126.2454183101654,97713.0,33498875
tai200_10_9.fsp,pfsp,200,40000000,32,128,128,1,64,0.01,standarized_utility,cuda:0,19531,6753.629878997803,1083267.0,5895300
tai20_5_8.fsp,pfsp,20,400000,32,64,512,3,64,0.001,standarized_utility,cuda:0,195,17.62902307510376,14833.0,11279570
N-stabu70,lop,60,3600000,32,64,128,1,64,0.001,standarized_utility,cuda:0,1757,93.2560305595398,357676.0,16060
N-stabu1_250,lop,250,62500000,32,256,128,2,64,0.001,standarized_utility,cuda:0,30517,7433.580512046814,7544938.0,81658
tai100_10_9.fsp,pfsp,100,10000000,32,256,1024,3,64,0.01,standarized_utility,cuda:0,4882,1744.0788791179657,335899.0,241413050
N-stabu1_250,lop,250,62500000,32,128,1024,1,64,0.001,standarized_utility,cuda:0,30517,7527.794193267822,7556314.0,388346
N-be75eec_150,lop,150,22500000,32,128,1024,2,64,0.0001,standarized_utility,cuda:0,10986,1467.5261492729187,3361484.0,1335446
N-stabu70,lop,60,3600000,32,256,128,1,64,0.01,standarized_utility,cuda:0,1757,89.33894920349121,357571.0,40636
tai100_10_9.fsp,pfsp,100,10000000,32,64,128,3,64,0.01,standarized_utility,cuda:0,4882,942.5377056598663,313717.0,4785850
tai100_10_9.fsp,pfsp,100,10000000,32,128,1024,2,64,0.01,standarized_utility,cuda:0,4882,927.4243652820587,329569.0,123345850
tai20_20_8.fsp,pfsp,20,400000,32,64,1024,1,64,0.01,standarized_utility,cuda:0,195,16.298256874084473,34170.0,1546450
tai50_10_9.fsp,pfsp,50,2500000,32,256,1024,2,64,0.0001,standarized_utility,cuda:0,1220,183.5601508617401,93602.0,66945275
N-t59b11xx,lop,44,1936000,32,256,1024,1,64,0.01,standarized_utility,cuda:0,945,24.027363061904907,208125.0,308268
N-t59b11xx,lop,44,1936000,32,256,512,2,64,0.001,standarized_utility,cuda:0,945,20.75821304321289,208890.0,416812
tai50_10_9.fsp,pfsp,50,2500000,32,64,512,1,64,0.01,standarized_utility,cuda:0,1220,163.49205017089844,94225.0,2318075
tai20_20_8.fsp,pfsp,20,400000,32,256,1024,1,64,0.001,standarized_utility,cuda:0,195,10.084333419799805,33973.0,5478610
tai100_10_9.fsp,pfsp,100,10000000,32,64,1024,2,64,0.01,standarized_utility,cuda:0,4882,925.1413586139679,327138.0,116792250
tai50_10_9.fsp,pfsp,50,2500000,32,128,128,2,64,0.0001,standarized_utility,cuda:0,1220,159.80573320388794,91996.0,1815675
N-stabu70,lop,60,3600000,32,64,1024,1,64,0.001,standarized_utility,cuda:0,1757,118.71151399612427,359640.0,128060
tai20_20_8.fsp,pfsp,20,400000,32,128,128,3,64,0.001,standarized_utility,cuda:0,195,14.74751353263855,33793.0,1017810
N-t75d11xx,lop,44,1936000,32,64,512,1,64,0.01,standarized_utility,cuda:0,945,41.28240132331848,572997.0,55852
tai50_10_9.fsp,pfsp,50,2500000,32,128,128,2,64,0.001,standarized_utility,cuda:0,1220,164.98150849342346,92610.0,1815675
N-t59b11xx,lop,44,1936000,32,128,1024,3,64,0.001,standarized_utility,cuda:0,945,35.27107048034668,202550.0,2276396
N-be75eec_150,lop,150,22500000,32,256,1024,1,64,0.0001,standarized_utility,cuda:0,10986,1346.076759815216,3373077.0,416918
N-be75eec_150,lop,150,22500000,32,128,512,1,64,0.0001,standarized_utility,cuda:0,10986,833.2752451896667,3384926.0,142998
N-t59b11xx,lop,44,1936000,32,64,512,3,64,0.0001,standarized_utility,cuda:0,945,23.65746021270752,206760.0,581164
N-be75eec_150,lop,150,22500000,32,128,512,1,64,0.01,standarized_utility,cuda:0,10986,1276.8290309906006,3347221.0,142998
N-stabu1_250,lop,250,62500000,32,128,128,2,64,0.01,standarized_utility,cuda:0,30517,4215.6931738853455,7333277.0,65274
tai20_5_8.fsp,pfsp,20,400000,32,64,1024,2,64,0.01,standarized_utility,cuda:0,195,19.083967447280884,16237.0,22538450
N-stabu1_250,lop,250,62500000,32,128,128,1,64,0.0001,standarized_utility,cuda:0,30517,4230.7687656879425,7529463.0,48762
tai200_10_9.fsp,pfsp,200,40000000,32,64,128,1,64,0.01,standarized_utility,cuda:0,19531,10426.606265544891,1074531.0,4256900
N-stabu1_250,lop,250,62500000,32,64,1024,2,64,0.01,standarized_utility,cuda:0,30517,4160.8030915260315,6708716.0,1372410
tai50_10_9.fsp,pfsp,50,2500000,32,256,512,2,64,0.01,standarized_utility,cuda:0,1220,113.18164229393005,96348.0,20366075
N-be75eec_150,lop,150,22500000,32,256,512,3,64,0.001,standarized_utility,cuda:0,10986,1542.091317653656,3294904.0,733846
N-t59b11xx,lop,44,1936000,32,128,128,3,64,0.01,standarized_utility,cuda:0,945,23.889682292938232,201795.0,55212
N-be75eec_150,lop,150,22500000,32,128,128,1,64,0.001,standarized_utility,cuda:0,10986,784.4366946220398,3386411.0,35862
N-t75d11xx,lop,44,1936000,32,256,128,3,64,0.001,standarized_utility,cuda:0,945,44.55041432380676,570001.0,71596
N-be75eec_150,lop,150,22500000,32,64,1024,1,64,0.01,standarized_utility,cuda:0,10986,838.046637058258,3322481.0,220310
N-t59b11xx,lop,44,1936000,32,64,1024,2,64,0.001,standarized_utility,cuda:0,945,39.41780400276184,208975.0,1161260
N-stabu70,lop,60,3600000,32,256,512,2,64,0.0001,standarized_utility,cuda:0,1757,51.21591567993164,358966.0,425020
N-t59b11xx,lop,44,1936000,32,128,512,2,64,0.01,standarized_utility,cuda:0,945,24.06720495223999,200705.0,351276
N-stabu70,lop,60,3600000,32,128,1024,2,64,0.0001,standarized_utility,cuda:0,1757,59.19781732559204,359039.0,1243196
N-stabu70,lop,60,3600000,32,256,1024,3,64,0.0001,standarized_utility,cuda:0,1757,86.85696411132812,356538.0,2423868
N-stabu70,lop,60,3600000,32,64,128,1,64,0.01,standarized_utility,cuda:0,1757,87.28883957862854,359120.0,16060
N-t59b11xx,lop,44,1936000,32,64,128,2,64,0.001,standarized_utility,cuda:0,945,24.177443265914917,208755.0,30508
N-be75eec,lop,50,2500000,32,128,128,3,64,0.001,standarized_utility,cuda:0,1220,30.41298198699951,233507.0,55986
N-be75eec,lop,50,2500000,32,256,128,3,64,0.01,standarized_utility,cuda:0,1220,54.83773374557495,232463.0,72370
N-t75d11xx,lop,44,1936000,32,128,512,1,64,0.001,standarized_utility,cuda:0,945,41.80288529396057,576208.0,88620
N-stabu70,lop,60,3600000,32,256,1024,1,64,0.001,standarized_utility,cuda:0,1757,98.83314323425293,360060.0,324668
tai20_20_8.fsp,pfsp,20,400000,32,64,512,3,64,0.0001,standarized_utility,cuda:0,195,20.037822008132935,33852.0,11279570
N-t59b11xx,lop,44,1936000,32,256,512,1,64,0.01,standarized_utility,cuda:0,945,23.883700609207153,208505.0,154156
tai20_5_8.fsp,pfsp,20,400000,32,128,1024,1,64,0.0001,standarized_utility,cuda:0,195,11.251149654388428,14648.0,2857170
tai50_10_9.fsp,pfsp,50,2500000,32,128,128,3,64,0.0001,standarized_utility,cuda:0,1220,188.36098265647888,92710.0,2641275
tai20_5_8.fsp,pfsp,20,400000,32,256,512,3,64,0.01,standarized_utility,cuda:0,195,11.06408953666687,15612.0,13245650
tai100_10_9.fsp,pfsp,100,10000000,32,128,512,2,64,0.01,standarized_utility,cuda:0,4882,909.5701191425323,315716.0,35461050
N-t59b11xx,lop,44,1936000,32,256,128,2,64,0.0001,standarized_utility,cuda:0,945,24.161657571792603,207990.0,55084
N-stabu70,lop,60,3600000,32,128,512,1,64,0.01,standarized_utility,cuda:0,1757,101.26582407951355,356218.0,96828
tai200_10_9.fsp,pfsp,200,40000000,32,64,512,1,64,0.0001,standarized_utility,cuda:0,19531,7348.344287872314,1073349.0,16967300
tai20_20_8.fsp,pfsp,20,400000,32,128,128,1,64,0.001,standarized_utility,cuda:0,195,18.470564126968384,33851.0,357330
N-stabu70,lop,60,3600000,32,128,1024,3,64,0.0001,standarized_utility,cuda:0,1757,54.82328748703003,358829.0,2292796
N-t75d11xx,lop,44,1936000,32,128,128,1,64,0.001,standarized_utility,cuda:0,945,39.21754860877991,570666.0,22188
N-t59b11xx,lop,44,1936000,32,256,1024,3,64,0.01,standarized_utility,cuda:0,945,37.83585548400879,179000.0,2407468
N-t75d11xx,lop,44,1936000,32,128,512,3,64,0.0001,standarized_utility,cuda:0,945,21.649039268493652,573012.0,613932
tai20_5_8.fsp,pfsp,20,400000,32,128,128,1,64,0.0001,standarized_utility,cuda:0,195,15.434245586395264,15276.0,357330
tai20_20_8.fsp,pfsp,20,400000,32,128,1024,2,64,0.0001,standarized_utility,cuda:0,195,20.346956491470337,33732.0,23849170
N-t75d11xx,lop,44,1936000,32,256,1024,3,64,0.0001,standarized_utility,cuda:0,945,41.46368074417114,567018.0,2407468
tai20_20_8.fsp,pfsp,20,400000,32,256,1024,3,64,0.01,standarized_utility,cuda:0,195,22.199223279953003,36037.0,47462610
tai20_20_8.fsp,pfsp,20,400000,32,64,1024,3,64,0.001,standarized_utility,cuda:0,195,13.212886810302734,34206.0,43530450
N-be75eec,lop,50,2500000,32,256,128,2,64,0.01,standarized_utility,cuda:0,1220,28.894559621810913,233074.0,55858
N-stabu70,lop,60,3600000,32,256,512,1,64,0.01,standarized_utility,cuda:0,1757,94.33779621124268,357545.0,162364
N-stabu70,lop,60,3600000,32,64,128,1,64,0.0001,standarized_utility,cuda:0,1757,118.52468729019165,354348.0,16060
N-be75eec_150,lop,150,22500000,32,64,128,2,64,0.01,standarized_utility,cuda:0,10986,1333.3838670253754,3284244.0,44182
N-t59b11xx,lop,44,1936000,32,64,128,2,64,0.001,standarized_utility,cuda:0,945,21.540484189987183,208785.0,30508
