instance,problem,problem size,max evaluations,batch size,noise length,hidden dim,prehead layers,num samples,learning rate,utility function,device,iterations,elapsed time in secs,best fitness,num trainable params
tai50_10_9.fsp,pfsp,50,2500000,32,64,512,3,64,0.01,standarized_utility,cuda:0,1220,212.1454210281372,96907.0,28583675
N-be75eec_150,lop,150,22500000,32,256,512,3,64,0.0001,standarized_utility,cuda:0,10986,801.6617407798767,3321563.0,733846
N-stabu1_250,lop,250,62500000,32,64,512,1,64,0.0001,standarized_utility,cuda:0,30517,6577.236289978027,7538930.0,161530
N-be75eec,lop,50,2500000,32,64,512,1,64,0.001,standarized_utility,cuda:0,1220,54.44009780883789,234205.0,58930
tai20_20_8.fsp,pfsp,20,400000,32,128,1024,3,64,0.01,standarized_utility,cuda:0,195,21.97184944152832,36075.0,44841170
tai20_20_8.fsp,pfsp,20,400000,32,128,1024,2,64,0.01,standarized_utility,cuda:0,195,19.233614683151245,35630.0,23849170
N-stabu70,lop,60,3600000,32,256,1024,3,64,0.0001,standarized_utility,cuda:0,1757,93.98525214195251,354998.0,2423868
N-stabu70,lop,60,3600000,32,64,512,2,64,0.0001,standarized_utility,cuda:0,1757,55.38237762451172,359007.0,326716
N-be75eec_150,lop,150,22500000,32,64,512,3,64,0.0001,standarized_utility,cuda:0,10986,805.8036096096039,3319207.0,635542
tai20_5_8.fsp,pfsp,20,400000,32,64,128,2,64,0.001,standarized_utility,cuda:0,195,18.41708278656006,14639.0,523730
tai20_20_8.fsp,pfsp,20,400000,32,128,128,2,64,0.001,standarized_utility,cuda:0,195,20.09982442855835,33856.0,687570
N-t75d11xx,lop,44,1936000,32,128,128,1,64,0.0001,standarized_utility,cuda:0,945,40.80666995048523,551172.0,22188
N-be75eec_150,lop,150,22500000,32,64,128,1,64,0.01,standarized_utility,cuda:0,10986,798.6039998531342,3341757.0,27670
N-be75eec_150,lop,150,22500000,32,128,128,2,64,0.001,standarized_utility,cuda:0,10986,795.5400004386902,3373288.0,52374
N-t75d11xx,lop,44,1936000,32,256,128,2,64,0.01,standarized_utility,cuda:0,945,38.042044162750244,572768.0,55084
N-t75d11xx,lop,44,1936000,32,256,128,2,64,0.01,standarized_utility,cuda:0,945,21.511300325393677,567158.0,55084
tai200_10_9.fsp,pfsp,200,40000000,32,128,512,3,64,0.0001,standarized_utility,cuda:0,19531,14050.03184580803,1072595.0,128583300
tai50_10_9.fsp,pfsp,50,2500000,32,64,128,1,64,0.01,standarized_utility,cuda:0,1220,171.86933016777039,93537.0,580475
N-stabu1_250,lop,250,62500000,32,128,512,1,64,0.0001,standarized_utility,cuda:0,30517,4110.084872961044,7542586.0,194298
N-stabu1_250,lop,250,62500000,32,256,128,1,64,0.01,standarized_utility,cuda:0,30517,7491.410041093826,7539596.0,65146
N-stabu70,lop,60,3600000,32,128,128,3,64,0.0001,standarized_utility,cuda:0,1757,52.030014514923096,356746.0,57276
tai20_20_8.fsp,pfsp,20,400000,32,128,128,2,64,0.0001,standarized_utility,cuda:0,195,18.438151597976685,34347.0,687570
N-be75eec,lop,50,2500000,32,256,512,3,64,0.0001,standarized_utility,cuda:0,1220,31.749488830566406,234000.0,682546
N-be75eec,lop,50,2500000,32,128,512,3,64,0.0001,standarized_utility,cuda:0,1220,56.992128133773804,233936.0,617010
tai50_10_9.fsp,pfsp,50,2500000,32,128,1024,3,64,0.0001,standarized_utility,cuda:0,1220,134.71383452415466,92819.0,112871675
N-be75eec_150,lop,150,22500000,32,128,1024,1,64,0.001,standarized_utility,cuda:0,10986,1506.1506373882294,3373523.0,285846
tai200_10_9.fsp,pfsp,200,40000000,32,64,128,3,64,0.01,standarized_utility,cuda:0,19531,11919.735965013504,1097838.0,10861700
N-t59b11xx,lop,44,1936000,32,128,1024,2,64,0.0001,standarized_utility,cuda:0,945,24.787028074264526,207450.0,1226796
N-stabu1_250,lop,250,62500000,32,64,128,3,64,0.01,standarized_utility,cuda:0,30517,4128.928714513779,7101220.0,73594
N-be75eec_150,lop,150,22500000,32,128,1024,1,64,0.01,standarized_utility,cuda:0,10986,1513.4560933113098,3323876.0,285846
N-t75d11xx,lop,44,1936000,32,64,128,1,64,0.01,standarized_utility,cuda:0,945,37.414254903793335,574579.0,13996
N-be75eec_150,lop,150,22500000,32,64,512,2,64,0.01,standarized_utility,cuda:0,10986,787.2020270824432,3206162.0,372886
N-be75eec_150,lop,150,22500000,32,64,128,3,64,0.0001,standarized_utility,cuda:0,10986,794.8530888557434,3336172.0,60694
tai20_20_8.fsp,pfsp,20,400000,32,128,1024,3,64,0.001,standarized_utility,cuda:0,195,13.46284031867981,34078.0,44841170
tai20_5_8.fsp,pfsp,20,400000,32,128,128,2,64,0.0001,standarized_utility,cuda:0,195,11.836761236190796,14895.0,687570
N-t59b11xx,lop,44,1936000,32,128,512,2,64,0.0001,standarized_utility,cuda:0,945,27.681734085083008,208765.0,351276
tai50_10_9.fsp,pfsp,50,2500000,32,128,128,1,64,0.0001,standarized_utility,cuda:0,1220,203.77529668807983,95881.0,990075
tai100_10_9.fsp,pfsp,100,10000000,32,256,1024,1,64,0.001,standarized_utility,cuda:0,4882,1386.9420638084412,302360.0,31493050
tai20_5_8.fsp,pfsp,20,400000,32,128,1024,2,64,0.01,standarized_utility,cuda:0,195,17.189446687698364,16274.0,23849170
tai20_20_8.fsp,pfsp,20,400000,32,256,1024,3,64,0.0001,standarized_utility,cuda:0,195,22.059776544570923,33859.0,47462610
N-stabu1_250,lop,250,62500000,32,256,1024,3,64,0.0001,standarized_utility,cuda:0,30517,7451.13401889801,7492016.0,2618618
tai100_10_9.fsp,pfsp,100,10000000,32,64,1024,1,64,0.0001,standarized_utility,cuda:0,4882,1377.3679151535034,303493.0,11832250
N-stabu1_250,lop,250,62500000,32,256,1024,2,64,0.001,standarized_utility,cuda:0,30517,4147.955978870392,7466643.0,1569018
N-t75d11xx,lop,44,1936000,32,256,512,1,64,0.0001,standarized_utility,cuda:0,945,38.235515832901,568963.0,154156
N-t59b11xx,lop,44,1936000,32,256,128,2,64,0.01,standarized_utility,cuda:0,945,28.101311445236206,203105.0,55084
N-be75eec,lop,50,2500000,32,128,128,3,64,0.0001,standarized_utility,cuda:0,1220,57.55783534049988,233776.0,55986
N-be75eec,lop,50,2500000,32,64,128,1,64,0.0001,standarized_utility,cuda:0,1220,55.550782203674316,230973.0,14770
N-stabu70,lop,60,3600000,32,64,1024,3,64,0.01,standarized_utility,cuda:0,1757,95.16765975952148,325197.0,2227260
N-t59b11xx,lop,44,1936000,32,256,1024,2,64,0.01,standarized_utility,cuda:0,945,24.700797080993652,189385.0,1357868
N-be75eec_150,lop,150,22500000,32,128,1024,1,64,0.001,standarized_utility,cuda:0,10986,795.0487513542175,3381348.0,285846
tai200_10_9.fsp,pfsp,200,40000000,32,64,512,1,64,0.0001,standarized_utility,cuda:0,19531,10893.126496553421,1073173.0,16967300
N-stabu70,lop,60,3600000,32,128,128,2,64,0.001,standarized_utility,cuda:0,1757,58.571528911590576,359050.0,40764
N-stabu70,lop,60,3600000,32,128,1024,1,64,0.01,standarized_utility,cuda:0,1757,84.38848686218262,355163.0,193596
N-be75eec_150,lop,150,22500000,32,256,128,3,64,0.0001,standarized_utility,cuda:0,10986,784.0704426765442,3341100.0,85270
N-stabu70,lop,60,3600000,32,64,512,1,64,0.0001,standarized_utility,cuda:0,1757,51.69899249076843,358378.0,64060
N-be75eec,lop,50,2500000,32,256,128,3,64,0.01,standarized_utility,cuda:0,1220,35.00723457336426,231828.0,72370
tai20_5_8.fsp,pfsp,20,400000,32,64,512,2,64,0.01,standarized_utility,cuda:0,195,13.265196561813354,15171.0,6026450
N-stabu1_250,lop,250,62500000,32,256,1024,1,64,0.001,standarized_utility,cuda:0,30517,7282.403086900711,7559488.0,519418
N-stabu70,lop,60,3600000,32,128,1024,1,64,0.0001,standarized_utility,cuda:0,1757,54.85441756248474,358934.0,193596
tai20_20_8.fsp,pfsp,20,400000,32,256,1024,3,64,0.001,standarized_utility,cuda:0,195,12.583030462265015,34030.0,47462610
N-t59b11xx,lop,44,1936000,32,64,512,2,64,0.01,standarized_utility,cuda:0,945,23.93745255470276,200895.0,318508
tai100_10_9.fsp,pfsp,100,10000000,32,256,512,1,64,0.0001,standarized_utility,cuda:0,4882,1324.346165895462,303376.0,15749050
N-t59b11xx,lop,44,1936000,32,64,128,3,64,0.0001,standarized_utility,cuda:0,945,23.40233564376831,207820.0,47020
N-t59b11xx,lop,44,1936000,32,256,128,1,64,0.001,standarized_utility,cuda:0,945,37.27717876434326,208765.0,38572
tai50_10_9.fsp,pfsp,50,2500000,32,64,128,2,64,0.01,standarized_utility,cuda:0,1220,173.9887089729309,93886.0,1406075
N-be75eec,lop,50,2500000,32,128,128,2,64,0.0001,standarized_utility,cuda:0,1220,32.53612995147705,234082.0,39474
N-t59b11xx,lop,44,1936000,32,256,512,1,64,0.0001,standarized_utility,cuda:0,945,34.64247179031372,207510.0,154156
tai20_20_8.fsp,pfsp,20,400000,32,64,1024,1,64,0.001,standarized_utility,cuda:0,195,17.779298067092896,33930.0,1546450
N-stabu1_250,lop,250,62500000,32,256,128,3,64,0.01,standarized_utility,cuda:0,30517,7401.058751821518,7100166.0,98170
N-stabu1_250,lop,250,62500000,32,256,512,3,64,0.0001,standarized_utility,cuda:0,30517,7390.430598974228,7494950.0,785146
N-stabu70,lop,60,3600000,32,128,128,3,64,0.001,standarized_utility,cuda:0,1757,96.25375080108643,357246.0,57276
tai50_10_9.fsp,pfsp,50,2500000,32,64,1024,1,64,0.0001,standarized_utility,cuda:0,1220,152.34747624397278,92339.0,4634875
tai100_10_9.fsp,pfsp,100,10000000,32,128,1024,2,64,0.0001,standarized_utility,cuda:0,4882,952.5784788131714,307382.0,123345850
tai20_20_8.fsp,pfsp,20,400000,32,128,128,2,64,0.01,standarized_utility,cuda:0,195,17.943191289901733,34257.0,687570
tai100_10_9.fsp,pfsp,100,10000000,32,64,512,2,64,0.0001,standarized_utility,cuda:0,4882,1439.1598570346832,303066.0,32184250
tai20_20_8.fsp,pfsp,20,400000,32,128,512,3,64,0.001,standarized_utility,cuda:0,195,13.377207279205322,34003.0,11934930
tai200_10_9.fsp,pfsp,200,40000000,32,64,512,1,64,0.01,standarized_utility,cuda:0,19531,7132.564566373825,1085785.0,16967300
N-t75d11xx,lop,44,1936000,32,128,1024,2,64,0.001,standarized_utility,cuda:0,945,42.985835790634155,569414.0,1226796
tai20_20_8.fsp,pfsp,20,400000,32,64,1024,3,64,0.001,standarized_utility,cuda:0,195,20.414197206497192,34118.0,43530450
N-stabu1_250,lop,250,62500000,32,128,512,2,64,0.001,standarized_utility,cuda:0,30517,6421.333539009094,7485130.0,456954
tai50_10_9.fsp,pfsp,50,2500000,32,256,1024,1,64,0.001,standarized_utility,cuda:0,1220,150.44668006896973,93244.0,14465275
tai20_20_8.fsp,pfsp,20,400000,32,128,128,1,64,0.01,standarized_utility,cuda:0,195,11.357982873916626,34027.0,357330
N-stabu70,lop,60,3600000,32,64,128,3,64,0.0001,standarized_utility,cuda:0,1757,101.46655821800232,358185.0,49084
N-be75eec,lop,50,2500000,32,64,512,1,64,0.001,standarized_utility,cuda:0,1220,30.023825883865356,234272.0,58930
tai20_20_8.fsp,pfsp,20,400000,32,128,1024,1,64,0.01,standarized_utility,cuda:0,195,11.909901142120361,34342.0,2857170
N-stabu1_250,lop,250,62500000,32,256,1024,2,64,0.001,standarized_utility,cuda:0,30517,7379.247677564621,7459218.0,1569018
N-stabu1_250,lop,250,62500000,32,64,1024,3,64,0.001,standarized_utility,cuda:0,30517,4238.527405977249,7193150.0,2422010
N-stabu70,lop,60,3600000,32,64,512,3,64,0.001,standarized_utility,cuda:0,1757,84.7533495426178,356502.0,589372
tai50_10_9.fsp,pfsp,50,2500000,32,256,128,2,64,0.01,standarized_utility,cuda:0,1220,104.58625268936157,93239.0,2634875
N-stabu1_250,lop,250,62500000,32,128,128,1,64,0.001,standarized_utility,cuda:0,30517,7472.38171339035,7572161.0,48762
tai20_5_8.fsp,pfsp,20,400000,32,64,128,3,64,0.001,standarized_utility,cuda:0,195,15.330931186676025,14688.0,853970
tai50_10_9.fsp,pfsp,50,2500000,32,64,1024,3,64,0.0001,standarized_utility,cuda:0,1220,127.25170874595642,93142.0,109594875
N-stabu70,lop,60,3600000,32,64,512,3,64,0.01,standarized_utility,cuda:0,1757,95.92017340660095,334776.0,589372
N-stabu70,lop,60,3600000,32,256,128,1,64,0.01,standarized_utility,cuda:0,1757,80.29588294029236,356915.0,40636
tai20_5_8.fsp,pfsp,20,400000,32,256,1024,3,64,0.01,standarized_utility,cuda:0,195,12.771867513656616,16330.0,47462610
tai50_10_9.fsp,pfsp,50,2500000,32,64,1024,2,64,0.0001,standarized_utility,cuda:0,1220,182.76284646987915,92413.0,57114875
N-stabu1_250,lop,250,62500000,32,64,128,1,64,0.01,standarized_utility,cuda:0,30517,7620.049205064774,7524578.0,40570
tai20_5_8.fsp,pfsp,20,400000,32,128,1024,2,64,0.0001,standarized_utility,cuda:0,195,11.702275514602661,14663.0,23849170
N-t59b11xx,lop,44,1936000,32,256,512,3,64,0.0001,standarized_utility,cuda:0,945,24.458439111709595,202965.0,679468
N-t75d11xx,lop,44,1936000,32,128,1024,2,64,0.0001,standarized_utility,cuda:0,945,30.60293960571289,570017.0,1226796
N-t59b11xx,lop,44,1936000,32,128,128,1,64,0.01,standarized_utility,cuda:0,945,23.563206911087036,209320.0,22188
N-stabu70,lop,60,3600000,32,128,1024,3,64,0.0001,standarized_utility,cuda:0,1757,119.85825395584106,358939.0,2292796
tai50_10_9.fsp,pfsp,50,2500000,32,256,1024,1,64,0.001,standarized_utility,cuda:0,1220,159.9872510433197,93091.0,14465275
N-stabu70,lop,60,3600000,32,128,512,3,64,0.01,standarized_utility,cuda:0,1757,55.60770058631897,340147.0,622140
tai100_10_9.fsp,pfsp,100,10000000,32,64,128,1,64,0.01,standarized_utility,cuda:0,4882,1147.5865523815155,306595.0,1483450
N-be75eec_150,lop,150,22500000,32,64,128,1,64,0.001,standarized_utility,cuda:0,10986,1498.8429882526398,3381363.0,27670
N-be75eec_150,lop,150,22500000,32,128,128,2,64,0.001,standarized_utility,cuda:0,10986,789.1446602344513,3340205.0,52374
tai20_5_8.fsp,pfsp,20,400000,32,128,128,1,64,0.01,standarized_utility,cuda:0,195,10.153022289276123,14607.0,357330
tai20_20_8.fsp,pfsp,20,400000,32,64,1024,1,64,0.001,standarized_utility,cuda:0,195,10.16056752204895,33879.0,1546450
tai100_10_9.fsp,pfsp,100,10000000,32,128,128,1,64,0.01,standarized_utility,cuda:0,4882,750.1457505226135,304407.0,2302650
N-be75eec_150,lop,150,22500000,32,128,512,2,64,0.001,standarized_utility,cuda:0,10986,1338.1533131599426,3330916.0,405654
N-stabu70,lop,60,3600000,32,64,128,2,64,0.01,standarized_utility,cuda:0,1757,52.0198392868042,359905.0,32572
N-be75eec_150,lop,150,22500000,32,128,128,2,64,0.0001,standarized_utility,cuda:0,10986,1509.7357499599457,3364214.0,52374
tai20_20_8.fsp,pfsp,20,400000,32,256,512,2,64,0.0001,standarized_utility,cuda:0,195,20.52403497695923,33861.0,7992530
N-stabu1_250,lop,250,62500000,32,64,128,1,64,0.0001,standarized_utility,cuda:0,30517,4045.5475058555603,7557933.0,40570
tai20_20_8.fsp,pfsp,20,400000,32,128,1024,3,64,0.001,standarized_utility,cuda:0,195,12.364200592041016,33993.0,44841170
N-t59b11xx,lop,44,1936000,32,256,128,2,64,0.01,standarized_utility,cuda:0,945,24.28858780860901,203495.0,55084
tai20_20_8.fsp,pfsp,20,400000,32,128,1024,3,64,0.001,standarized_utility,cuda:0,195,20.045687913894653,33815.0,44841170
N-be75eec,lop,50,2500000,32,64,128,3,64,0.001,standarized_utility,cuda:0,1220,57.20459747314453,233003.0,47794
N-stabu70,lop,60,3600000,32,256,128,3,64,0.0001,standarized_utility,cuda:0,1757,84.53572797775269,357959.0,73660
N-stabu1_250,lop,250,62500000,32,128,128,3,64,0.001,standarized_utility,cuda:0,30517,4127.902720689774,7472377.0,81786
tai100_10_9.fsp,pfsp,100,10000000,32,64,128,1,64,0.0001,standarized_utility,cuda:0,4882,846.2204699516296,304708.0,1483450
tai20_20_8.fsp,pfsp,20,400000,32,256,128,1,64,0.001,standarized_utility,cuda:0,195,11.53652811050415,33732.0,685010
N-stabu70,lop,60,3600000,32,128,128,2,64,0.01,standarized_utility,cuda:0,1757,117.95113325119019,355896.0,40764
tai20_5_8.fsp,pfsp,20,400000,32,128,128,2,64,0.01,standarized_utility,cuda:0,195,10.570608854293823,15116.0,687570
