,instance,repetition,algorithm,lambda,alpha,best fitness,evals,elapsed time in secs
3077,N-be75eec,25,PL,100,0.001,228139,2244205,26.167
3079,N-be75eec,17,PL,100,0.01,233215,2477326,15.567
3086,N-be75eec,18,PL,100,0.01,233374,2365336,25.429
3089,N-be75eec,28,PL,100,0.01,233380,1588534,14.406
3090,N-be75eec,21,PL,100,0.01,233284,2471275,15.806
3092,N-be75eec,12,PL,100,0.01,233674,2450177,14.583
3094,N-be75eec,27,PL,100,0.001,228745,2258095,26.17
3096,N-be75eec,25,PL,100,0.01,233221,2407440,20.706
3097,N-be75eec,21,PL,100,0.05,233983,2499352,15.261
3106,N-be75eec,28,PL,100,0.05,233972,1660607,15.337
3108,N-be75eec,20,PL,100,0.01,233323,1890465,14.758
3109,N-be75eec,16,PL,100,0.05,234147,1679443,14.239
3110,N-be75eec,29,PL,100,0.05,234185,1753586,14.531
3111,N-be75eec,11,PL,100,0.05,234227,1657823,26.305
3112,N-be75eec,20,PL,100,0.05,234070,2225416,24.671
3114,N-be75eec,25,PL,100,0.05,234192,2252580,17.646
3117,N-be75eec,12,PL,100,0.05,233845,1643791,14.156
3118,N-be75eec,19,PL,100,0.05,234054,2436991,25.403
3122,N-be75eec,16,PL,100,0.01,233717,2375466,26.614
3125,N-be75eec,27,PL,100,0.01,233338,2497673,18.216
3126,N-be75eec,19,PL,100,0.01,233340,1721026,25.632
3130,N-be75eec,24,PL,100,0.05,234010,1489350,14.951
3131,N-be75eec,20,PL,100,0.1,234070,1148936,13.576
3132,N-be75eec,16,PL,100,0.1,234146,1380813,15.021
3134,N-be75eec,15,PL,100,0.05,234085,1656148,24.721
3136,N-be75eec,14,PL,100,0.05,234087,1912976,14.349
3137,N-be75eec,13,PL,100,0.05,234070,2137259,20.172
3138,N-be75eec,14,PL,100,0.1,234238,2276659,20.087
3141,N-be75eec,17,PL,100,0.1,234133,1741934,13.592
3144,N-be75eec,29,PL,100,0.01,233188,2339088,22.051
3147,N-be75eec,11,PL,100,0.1,234094,2259281,16.004
3155,N-be75eec,24,PL,100,0.1,234214,1150577,14.54
3157,N-be75eec,23,PL,100,0.05,233963,1501977,14.697
3162,N-be75eec,27,PL,100,0.05,234188,2162862,14.033
3164,N-be75eec,22,PL,100,0.05,234106,1693950,14.224
3165,N-be75eec,12,PL,100,0.1,234186,1571804,14.105
3166,N-be75eec,26,PL,100,0.1,234084,2460720,23.652
3168,N-be75eec,29,PL,100,0.1,234082,2255703,20.264
3169,N-be75eec,18,PL,100,0.05,234183,2419056,24.886
3173,N-be75eec,26,PL,100,0.05,234058,2012421,14.67
3174,N-be75eec,30,PL,100,0.1,234146,1530926,15.483
3175,N-be75eec,30,PL,100,0.05,234181,1826477,23.484
3176,N-be75eec,18,PL,100,0.1,234090,841489,20.52
3178,N-be75eec,19,PL,100,0.5,234234,2155788,15.159
3179,N-be75eec,23,PL,100,0.1,234090,1564089,16.296
3180,N-be75eec,22,PL,100,0.1,234188,980188,26.274
3181,N-be75eec,17,PL,100,0.05,234105,2345079,25.444
3182,N-be75eec,13,PL,100,0.1,234156,1797263,15.582
3185,N-be75eec,15,PL,100,0.1,234147,1236455,16.182
3188,N-be75eec,18,PL,100,0.5,234855,1621215,15.519
3190,N-be75eec,19,PL,100,0.1,234082,1556520,20.408
3192,N-be75eec,15,PL,100,0.5,234105,1715913,18.06
3194,N-be75eec,23,PL,100,0.5,235022,1768397,17.465
3199,N-be75eec,27,PL,100,0.5,234214,1477110,21.93
3200,N-be75eec,24,PL,100,0.5,234918,910976,14.258
3201,N-be75eec,25,PL,100,0.1,234203,1351419,14.852
3203,N-be75eec,12,PL,100,0.5,234243,2078930,24.751
3204,N-be75eec,30,PL,100,0.5,234894,1698991,26.229
3205,N-be75eec,17,PL,100,0.75,234230,2303966,15.636
3209,N-be75eec,16,PL,100,0.5,234238,1942246,24.732
3210,N-be75eec,28,PL,100,0.1,234192,1036778,17.506
3211,N-be75eec,29,PL,100,0.5,234953,2429456,15.461
3215,N-be75eec,13,PL,100,0.5,234179,1666726,15.042
3216,N-be75eec,27,PL,100,0.1,234192,1535924,26.47
3217,N-be75eec,17,PL,100,0.5,234182,825677,15.022
3218,N-be75eec,21,PL,100,0.1,234199,2089138,26.319
3220,N-be75eec,26,PL,100,0.5,234154,2168201,25.673
3221,N-be75eec,15,PL,100,0.75,234346,1007444,19.914
3222,N-be75eec,28,PL,100,0.75,235067,2451867,15.815
3223,N-be75eec,20,PL,100,0.5,234231,1867816,22.211
3225,N-be75eec,13,PL,100,0.75,235011,544206,14.534
3228,N-be75eec,23,PL,100,0.75,235015,1677652,19.204
3229,N-be75eec,14,PL,100,0.5,234125,1727633,16.402
3232,N-be75eec,12,PL,100,0.75,234216,1687274,14.345
3233,N-be75eec,25,PL,100,0.5,234146,627945,25.11
3234,N-be75eec,30,PL,100,0.75,234901,1848027,16.452
3236,N-be75eec,26,PL,100,0.75,234989,1160750,13.587
3237,N-be75eec,28,PL,100,0.5,234871,2210661,24.412
3238,N-be75eec,11,PL,100,0.5,234224,1285496,24.607
3242,N-be75eec,22,PL,100,0.75,234230,1192106,22.657
3246,N-be75eec,22,PL,100,0.5,234237,2029117,26.062
3248,N-be75eec,21,PL,100,0.75,234886,1666814,14.178
3250,N-be75eec,20,PL,100,0.75,234235,337085,14.253
3252,N-be75eec,19,PL,100,0.75,234223,1651018,19.836
3258,N-be75eec,14,PL,100,0.75,234243,308236,25.49
3260,N-be75eec,21,PL,100,0.5,234227,2280454,25.192
3265,N-be75eec,12,PL,100,0.9,234957,2469373,17.204
3266,N-be75eec,16,PL,100,0.75,234200,2367532,24.437
3267,N-be75eec,27,PL,100,0.75,234993,2064264,15.512
3270,N-be75eec,29,PL,100,0.75,234214,605768,18.989
3274,N-be75eec,25,PL,100,0.75,235010,2385706,25.3
3275,N-be75eec,17,PL,100,0.9,234158,943376,23.506
3277,N-be75eec,19,PL,100,0.9,234206,1439738,14.632
3281,N-be75eec,11,PL,100,0.75,234175,217540,22.329
3282,N-be75eec,27,PL,100,0.9,234184,2093001,14.366
3286,N-be75eec,12,PL,1000,0.001,206793,2486373,14.49
3289,N-be75eec,15,PL,1000,0.001,211305,2483361,14.193
3291,N-be75eec,23,PL,100,0.9,234198,1483879,23.01
3292,N-be75eec,22,PL,100,0.9,234221,1253571,25.629
3293,N-be75eec,13,PL,1000,0.001,208201,2395439,19.622
3294,N-be75eec,24,PL,100,0.75,234241,1247940,20.513
3297,N-be75eec,14,PL,100,0.9,235002,1880782,15.648
3298,N-be75eec,30,PL,100,0.9,234180,1467278,20.229
3299,N-be75eec,28,PL,100,0.9,235038,1114088,23.222
3300,N-be75eec,18,PL,100,0.75,234176,660196,25.571
3302,N-be75eec,18,PL,1000,0.001,211678,2439598,14.266
3306,N-be75eec,13,PL,100,0.9,235017,1782966,25.161
3307,N-be75eec,25,PL,100,0.9,234141,2149278,14.965
3311,N-be75eec,30,PL,1000,0.001,209190,2352805,14.989
3316,N-be75eec,11,PL,1000,0.001,209740,2417470,14.621
3317,N-be75eec,11,PL,100,0.9,235025,2366113,23.893
3318,N-be75eec,26,PL,100,0.9,234957,976214,26.199
3321,N-be75eec,18,PL,100,0.9,234179,1004889,25.475
3323,N-be75eec,19,PL,1000,0.001,205150,2326178,14.415
3324,N-be75eec,14,PL,1000,0.001,208205,1570113,22.003
3325,N-be75eec,24,PL,1000,0.001,213137,2438399,21.911
3327,N-be75eec,29,PL,100,0.9,234999,680199,26.483
3328,N-be75eec,16,PL,100,0.9,234179,1983020,17.115
3329,N-be75eec,24,PL,100,0.9,234976,1324994,25.914
3331,N-be75eec,16,PL,1000,0.01,229779,2284219,15.903
3332,N-be75eec,13,PL,1000,0.01,228874,2271653,14.926
3334,N-be75eec,23,PL,1000,0.001,211489,2482070,21.589
3338,N-be75eec,20,PL,1000,0.001,211307,2094045,17.399
3339,N-be75eec,20,PL,100,0.9,234192,764992,21.438
3344,N-be75eec,26,PL,1000,0.001,206372,1337449,23.769
3347,N-be75eec,21,PL,100,0.9,234212,2434784,25.12
3348,N-be75eec,17,PL,1000,0.001,207483,2395235,24.324
3349,N-be75eec,15,PL,100,0.9,234185,104187,25.517
3350,N-be75eec,16,PL,1000,0.001,209811,1662052,14.305
3352,N-be75eec,22,PL,1000,0.001,207324,1469252,14.733
3360,N-be75eec,22,PL,1000,0.01,229551,2154329,19.648
3361,N-be75eec,29,PL,1000,0.001,206733,2007128,23.772
3365,N-be75eec,20,PL,1000,0.01,229485,2426548,17.222
3367,N-be75eec,21,PL,1000,0.001,210464,1766371,19.708
3368,N-be75eec,23,PL,1000,0.01,230140,2411600,13.839
3369,N-be75eec,30,PL,1000,0.01,228270,2313377,14.048
3372,N-be75eec,27,PL,1000,0.001,207101,2364445,21.329
3373,N-be75eec,28,PL,1000,0.001,210453,1330211,23.366
3375,N-be75eec,12,PL,1000,0.01,228918,2296254,25.188
3379,N-be75eec,25,PL,1000,0.001,210204,2403370,22.391
3382,N-be75eec,19,PL,1000,0.01,228789,2269584,21.45
3384,N-be75eec,11,PL,1000,0.05,232898,2134921,14.936
3385,N-be75eec,21,PL,1000,0.05,232962,2413927,13.392
3388,N-be75eec,17,PL,1000,0.01,228907,2416789,14.208
3389,N-be75eec,28,PL,1000,0.01,229379,2339685,20.068
3390,N-be75eec,25,PL,1000,0.01,229979,2177328,14.9
3394,N-be75eec,21,PL,1000,0.01,228742,1585391,25.0
3396,N-be75eec,14,PL,1000,0.01,229222,2133695,14.639
3397,N-be75eec,23,PL,1000,0.05,232318,2142202,14.32
3398,N-be75eec,15,PL,1000,0.05,232913,2315540,26.139
3399,N-be75eec,14,PL,1000,0.05,233004,2115038,25.034
3402,N-be75eec,29,PL,1000,0.01,228534,2418260,14.042
3404,N-be75eec,18,PL,1000,0.01,228616,2195854,23.381
3405,N-be75eec,25,PL,1000,0.05,232529,2463879,25.407
3407,N-be75eec,14,PL,1000,0.1,233305,2368807,15.965
3408,N-be75eec,11,PL,1000,0.01,228749,2456661,23.343
3410,N-be75eec,15,PL,1000,0.01,227655,1992971,24.349
3411,N-be75eec,24,PL,1000,0.05,232462,2353393,21.039
3413,N-be75eec,29,PL,1000,0.05,232521,2403441,23.553
3414,N-be75eec,22,PL,1000,0.05,232638,2424619,25.357
3416,N-be75eec,19,PL,1000,0.05,232584,2000748,25.227
3417,N-be75eec,20,PL,1000,0.05,232724,2426340,24.984
3418,N-be75eec,17,PL,1000,0.05,233238,2230488,19.731
3419,N-be75eec,26,PL,1000,0.01,228849,2374561,25.01
3421,N-be75eec,18,PL,1000,0.05,232703,2464969,25.713
3426,N-be75eec,27,PL,1000,0.05,233019,2486496,24.744
3427,N-be75eec,27,PL,1000,0.01,228332,2392207,18.372
3428,N-be75eec,12,PL,1000,0.1,233632,2450177,14.844
3431,N-be75eec,24,PL,1000,0.01,229099,1663684,24.667
3433,N-be75eec,17,PL,1000,0.1,233242,2274185,14.71
3435,N-be75eec,18,PL,1000,0.1,233320,2474223,25.481
3438,N-be75eec,16,PL,1000,0.05,233158,2467958,17.31
3439,N-be75eec,22,PL,1000,0.1,233438,1728685,22.434
3440,N-be75eec,11,PL,1000,0.1,233323,2408240,14.724
3441,N-be75eec,21,PL,1000,0.1,233302,2119605,25.878
3442,N-be75eec,24,PL,1000,0.1,233321,2489421,15.258
3443,N-be75eec,28,PL,1000,0.05,232883,1686639,21.729
3447,N-be75eec,19,PL,1000,0.1,233455,1665446,24.208
3450,N-be75eec,18,PL,1000,0.5,234220,2120017,14.925
3451,N-be75eec,15,PL,1000,0.1,233390,2417611,25.467
3452,N-be75eec,12,PL,1000,0.05,232684,2112439,25.777
3454,N-be75eec,23,PL,1000,0.1,233550,1879548,15.423
3456,N-be75eec,13,PL,1000,0.1,233324,2313168,17.835
3459,N-be75eec,13,PL,1000,0.05,232782,1777793,25.772
3460,N-be75eec,29,PL,1000,0.1,233362,2328144,14.527
3462,N-be75eec,25,PL,1000,0.1,233382,2494550,14.723
3464,N-be75eec,30,PL,1000,0.05,232578,2479709,23.745
3468,N-be75eec,14,PL,1000,0.5,234186,2014261,14.435
3471,N-be75eec,27,PL,1000,0.1,233382,2491628,14.956
3472,N-be75eec,26,PL,1000,0.1,233357,2475309,24.268
3473,N-be75eec,26,PL,1000,0.05,232595,2187798,25.395
3474,N-be75eec,16,PL,1000,0.1,233351,2435341,14.409
3477,N-be75eec,29,PL,1000,0.5,234174,2033802,15.469
3480,N-be75eec,20,PL,1000,0.1,233449,2373130,15.401
3483,N-be75eec,16,PL,1000,0.5,234126,1921022,24.297
3484,N-be75eec,15,PL,1000,0.5,234139,1954573,25.472
3486,N-be75eec,13,PL,1000,0.5,234251,2437100,15.387
3487,N-be75eec,28,PL,1000,0.1,233287,2464208,14.484
3489,N-be75eec,13,PL,1000,0.75,234089,1308161,14.679
3492,N-be75eec,28,PL,1000,0.5,234009,1418382,20.43
3495,N-be75eec,24,PL,1000,0.5,234090,1668538,23.427
3496,N-be75eec,30,PL,1000,0.1,233403,2145693,21.873
3500,N-be75eec,16,PL,1000,0.75,234115,1884835,13.126
3501,N-be75eec,23,PL,1000,0.5,234055,2408572,14.621
3502,N-be75eec,11,PL,1000,0.75,234091,1057003,15.596
3504,N-be75eec,20,PL,1000,0.5,234049,1784020,14.375
3510,N-be75eec,22,PL,1000,0.5,234134,2022187,15.004
3515,N-be75eec,11,PL,1000,0.5,234207,1774633,18.132
3516,N-be75eec,14,PL,1000,0.75,234116,1171522,14.624
3518,N-be75eec,26,PL,1000,0.75,234060,1549608,19.328
3519,N-be75eec,30,PL,1000,0.5,233962,1545596,17.47
3521,N-be75eec,17,PL,1000,0.5,234082,1618064,14.324
3522,N-be75eec,15,PL,1000,0.75,234237,2222870,19.57
3524,N-be75eec,30,PL,1000,0.75,234142,1423313,20.21
3528,N-be75eec,19,PL,1000,0.5,234172,2477411,16.865
3530,N-be75eec,26,PL,1000,0.5,234174,1856135,14.967
3531,N-be75eec,21,PL,1000,0.5,234040,2371794,20.11
3533,N-be75eec,25,PL,1000,0.5,234216,2013784,26.076
3537,N-be75eec,12,PL,1000,0.75,234181,1472620,14.772
3539,N-be75eec,16,PL,1000,0.9,234228,1955953,16.54
3540,N-be75eec,12,PL,1000,0.5,234194,2351607,24.365
3544,N-be75eec,28,PL,1000,0.9,234077,1015253,14.556
3547,N-be75eec,29,PL,1000,0.9,234079,2434494,14.724
3548,N-be75eec,21,PL,1000,0.75,234207,1581496,24.709
3549,N-be75eec,28,PL,1000,0.75,234145,1944440,12.983
3550,N-be75eec,24,PL,1000,0.75,234147,2113888,15.44
3551,N-be75eec,29,PL,1000,0.75,234243,1364487,24.932
3553,N-be75eec,27,PL,1000,0.5,233849,1260281,24.829
3554,N-be75eec,22,PL,1000,0.75,234083,1253356,16.971
3555,N-be75eec,25,PL,1000,0.9,234131,2456752,14.473
3558,N-be75eec,20,PL,1000,0.75,234179,2496322,24.954
3559,N-be75eec,20,PL,1000,0.9,234198,979191,19.78
3561,N-be75eec,21,PL,1000,0.9,234193,2213662,14.185
3562,N-be75eec,19,PL,1000,0.9,234125,2081364,14.608
3563,N-be75eec,22,PL,10000,0.001,200026,990180,14.048
3565,N-be75eec,17,PL,1000,0.75,234172,1266475,16.105
3568,N-be75eec,18,PL,1000,0.75,234221,1076325,20.493
3569,N-be75eec,13,PL,1000,0.9,234091,1116383,25.505
3570,N-be75eec,27,PL,1000,0.75,234119,1845454,24.728
3571,N-be75eec,14,PL,10000,0.001,198406,2375621,14.432
3572,N-be75eec,28,PL,10000,0.001,198474,33845,14.433
3573,N-be75eec,25,PL,1000,0.75,234204,2248354,24.743
3574,N-be75eec,29,PL,10000,0.001,199206,1896821,15.461
3575,N-be75eec,17,PL,1000,0.9,234748,2017167,15.286
3577,N-be75eec,27,PL,1000,0.9,234097,1598011,21.894
3578,N-be75eec,24,PL,1000,0.9,234092,2013615,14.936
3582,N-be75eec,22,PL,1000,0.9,234178,2034534,24.053
3583,N-be75eec,19,PL,1000,0.75,234126,1484794,26.075
3585,N-be75eec,18,PL,10000,0.001,198741,682738,17.213
3586,N-be75eec,17,PL,10000,0.001,196985,1378872,23.548
3587,N-be75eec,15,PL,1000,0.9,234169,998712,21.009
3588,N-be75eec,23,PL,1000,0.75,234147,1231919,24.594
3590,N-be75eec,23,PL,1000,0.9,234225,2112992,17.722
3591,N-be75eec,11,PL,1000,0.9,234168,898134,14.897
3592,N-be75eec,14,PL,1000,0.9,234106,2123914,25.485
3595,N-be75eec,27,PL,10000,0.001,196705,2036155,14.419
3596,N-be75eec,26,PL,10000,0.001,204385,566541,24.51
3597,N-be75eec,25,PL,10000,0.001,198875,1285894,20.813
3601,N-be75eec,18,PL,1000,0.9,234223,1587897,18.462
3604,N-be75eec,30,PL,1000,0.9,234137,1409603,23.927
3605,N-be75eec,11,PL,10000,0.001,199117,2066013,14.703
3615,N-be75eec,26,PL,1000,0.9,234184,1134073,24.138
3618,N-be75eec,15,PL,10000,0.001,200941,334646,17.292
3619,N-be75eec,12,PL,1000,0.9,234180,2323221,24.066
3624,N-be75eec,16,PL,10000,0.01,209811,1662052,15.703
3627,N-be75eec,19,PL,10000,0.01,205150,2326178,13.983
3628,N-be75eec,13,PL,10000,0.001,198157,1982075,20.859
3634,N-be75eec,12,PL,10000,0.001,197178,2084818,22.198
3635,N-be75eec,12,PL,10000,0.01,206793,2486373,15.445
3637,N-be75eec,24,PL,10000,0.001,199879,1390260,21.93
3638,N-be75eec,20,PL,10000,0.001,199027,2266371,24.542
3640,N-be75eec,19,PL,10000,0.001,198923,2188028,24.516
3642,N-be75eec,30,PL,10000,0.001,201337,698101,14.652
3643,N-be75eec,23,PL,10000,0.001,199076,802170,16.328
3647,N-be75eec,16,PL,10000,0.001,199955,1902075,16.766
3654,N-be75eec,17,PL,10000,0.01,207483,2395235,16.271
3655,N-be75eec,11,PL,10000,0.01,209740,2417470,14.158
3656,N-be75eec,20,PL,10000,0.05,224046,2412475,14.541
3657,N-be75eec,21,PL,10000,0.001,199869,351388,24.595
3658,N-be75eec,22,PL,10000,0.05,224683,2163143,16.138
3660,N-be75eec,11,PL,10000,0.05,224693,2485854,16.166
3662,N-be75eec,14,PL,10000,0.01,206152,2185131,14.441
3664,N-be75eec,24,PL,10000,0.01,213137,2438399,13.444
3666,N-be75eec,26,PL,10000,0.05,224712,2470352,16.729
3668,N-be75eec,23,PL,10000,0.05,225543,2369058,18.24
3669,N-be75eec,27,PL,10000,0.01,207101,2364445,20.559
3672,N-be75eec,13,PL,10000,0.01,208201,2395439,16.139
3673,N-be75eec,22,PL,10000,0.01,207324,1469252,22.395
3674,N-be75eec,16,PL,10000,0.05,224814,2209731,25.238
3677,N-be75eec,15,PL,10000,0.05,225467,2331123,23.275
3680,N-be75eec,29,PL,10000,0.01,206733,2007128,23.691
3681,N-be75eec,27,PL,10000,0.05,223800,2456109,16.832
3682,N-be75eec,25,PL,10000,0.01,210204,2403370,16.384
3683,N-be75eec,15,PL,10000,0.01,211305,2483361,25.197
3688,N-be75eec,20,PL,10000,0.01,211307,2094045,19.79
3689,N-be75eec,21,PL,10000,0.05,224021,2453349,18.15
3694,N-be75eec,30,PL,10000,0.05,224679,2443861,17.873
3695,N-be75eec,23,PL,10000,0.01,211489,2482070,14.388
3696,N-be75eec,14,PL,10000,0.05,225411,2490848,17.041
3697,N-be75eec,19,PL,10000,0.05,224534,2475484,13.904
3699,N-be75eec,30,PL,10000,0.01,211128,2352805,18.515
3700,N-be75eec,18,PL,10000,0.01,211678,2439598,25.146
3701,N-be75eec,17,PL,10000,0.05,224572,2085505,19.064
3702,N-be75eec,18,PL,10000,0.05,224127,2488425,25.236
3703,N-be75eec,26,PL,10000,0.01,206372,1337449,19.245
3706,N-be75eec,24,PL,10000,0.05,224024,2329674,13.733
3708,N-be75eec,13,PL,10000,0.05,224732,2385795,13.928
3709,N-be75eec,21,PL,10000,0.01,210464,1766371,24.02
3713,N-be75eec,21,PL,10000,0.1,228638,2493824,13.675
3718,N-be75eec,25,PL,10000,0.05,224779,2387401,14.595
3719,N-be75eec,28,PL,10000,0.01,210453,1330211,22.367
3720,N-be75eec,12,PL,10000,0.05,224053,2391261,24.706
3721,N-be75eec,16,PL,10000,0.1,229779,2284219,19.029
3722,N-be75eec,22,PL,10000,0.1,229145,2154329,15.331
3724,N-be75eec,13,PL,10000,0.1,228874,2271653,18.351
3726,N-be75eec,30,PL,10000,0.1,229250,1691073,18.41
3727,N-be75eec,28,PL,10000,0.1,228342,2245189,20.285
3729,N-be75eec,12,PL,10000,0.1,228918,2296254,25.021
3730,N-be75eec,11,PL,10000,0.5,232560,2441019,16.218
3733,N-be75eec,25,PL,10000,0.1,229979,2177328,23.623
3734,N-be75eec,23,PL,10000,0.1,230140,2411600,14.583
3736,N-be75eec,28,PL,10000,0.05,225012,2378894,21.676
3737,N-be75eec,29,PL,10000,0.05,225187,2433064,21.254
3738,N-be75eec,27,PL,10000,0.1,228208,2489711,13.563
3742,N-be75eec,17,PL,10000,0.5,232676,2302570,17.05
3743,N-be75eec,29,PL,10000,0.1,228557,2458490,15.223
3745,N-be75eec,17,PL,10000,0.1,229347,2362094,18.41
3746,N-be75eec,14,PL,10000,0.1,229263,1859289,25.742
3749,N-be75eec,16,PL,10000,0.5,233221,1811098,24.324
3751,N-be75eec,11,PL,10000,0.1,228329,2418085,21.79
3756,N-be75eec,24,PL,10000,0.1,228215,2496583,13.788
3758,N-be75eec,20,PL,10000,0.5,232917,2389011,21.077
3763,N-be75eec,13,PL,10000,0.5,232592,2431467,22.846
3766,N-be75eec,19,PL,10000,0.1,228789,2269584,13.706
3769,N-be75eec,18,PL,10000,0.1,228616,2195854,20.49
3772,N-be75eec,15,PL,10000,0.1,228287,2172376,22.387
3775,N-be75eec,20,PL,10000,0.1,229485,2426548,22.844
3778,N-be75eec,18,PL,10000,0.5,232729,1907676,17.764
3780,N-be75eec,15,PL,10000,0.5,232837,2315540,13.136
3781,N-be75eec,27,PL,10000,0.5,232844,2402634,22.62
3783,N-be75eec,26,PL,10000,0.75,233037,2429435,14.6
3786,N-be75eec,26,PL,10000,0.1,229342,2027112,20.735
3787,N-be75eec,24,PL,10000,0.5,233006,2264832,19.755
3788,N-be75eec,22,PL,10000,0.5,232929,1906444,23.021
3790,N-be75eec,29,PL,10000,0.5,232383,2468508,20.744
3791,N-be75eec,21,PL,10000,0.5,233203,2356084,18.249
3793,N-be75eec,12,PL,10000,0.5,232557,2369581,17.289
3794,N-be75eec,25,PL,10000,0.5,232508,2279645,14.64
3795,N-be75eec,14,PL,10000,0.5,232830,2347796,24.337
3797,N-be75eec,23,PL,10000,0.5,232687,2368361,15.244
3800,N-be75eec,29,PL,10000,0.75,233293,2035781,15.106
3807,N-be75eec,20,PL,10000,0.75,232985,2460368,24.194
3808,N-be75eec,13,PL,10000,0.9,233458,2489982,15.953
3810,N-be75eec,11,PL,10000,0.9,233208,2362935,15.059
3811,N-be75eec,12,PL,10000,0.75,233249,1642749,22.426
3812,N-be75eec,19,PL,10000,0.5,232620,2454499,24.41
3813,N-be75eec,26,PL,10000,0.5,232768,2211002,22.844
3814,N-be75eec,17,PL,10000,0.9,233608,2284932,14.91
3816,N-be75eec,13,PL,10000,0.75,233044,2441989,14.509
3817,N-be75eec,11,PL,10000,0.75,233339,2379784,26.149
3819,N-be75eec,21,PL,10000,0.75,233406,1460691,19.509
3820,N-be75eec,25,PL,10000,0.75,232966,2458096,16.764
3824,N-be75eec,15,PL,10000,0.75,233316,1659976,14.699
3825,N-be75eec,28,PL,10000,0.5,232663,2494786,24.321
3826,N-be75eec,27,PL,10000,0.75,233115,2430302,22.738
3829,N-be75eec,16,PL,10000,0.75,233541,2163780,24.22
3830,N-be75eec,28,PL,10000,0.75,233081,2438648,17.81
3831,N-be75eec,22,PL,10000,0.75,233104,2034493,14.815
3833,N-be75eec,14,PL,10000,0.75,233155,2438624,21.03
3835,N-be75eec,22,PL,10000,0.9,233441,1968156,14.203
3838,N-be75eec,30,PL,10000,0.5,232628,2460626,24.76
3839,N-be75eec,18,PL,10000,0.75,233241,1968642,25.868
3840,N-be75eec,25,PL,10000,0.9,233343,2199263,18.911
3843,N-be75eec,15,PL,10000,0.9,233351,2459373,24.805
3844,N-be75eec,19,PL,10000,0.75,233201,2116029,23.752
3845,N-be75eec,18,PL,10000,0.9,233299,1935389,13.926
3846,N-be75eec,21,PL,10000,0.9,233336,2477074,25.762
3847,N-be75eec,26,PL,10000,0.9,233326,1616259,24.037
3848,N-be75eec,14,PL,10000,0.9,233498,2048402,13.805
3850,N-be75eec,17,PL,10000,0.75,233122,1491856,22.865
3851,N-be75eec,24,PL,10000,0.9,233310,2451618,14.207
3855,N-be75eec,20,PL,10000,0.9,233231,2459623,20.342
3857,N-be75eec,28,PL,10000,0.9,233257,2277731,15.222
3861,N-be75eec,16,PL,10000,0.9,233303,2287117,17.198
3863,N-be75eec,12,PL,10000,0.9,233357,2472155,25.386
3864,N-be75eec,23,PL,10000,0.75,233241,1891134,21.766
3867,N-be75eec,24,PL,10000,0.75,233337,2124200,23.742
3868,N-be75eec,30,PL,10000,0.9,233211,2473731,15.167
3870,N-be75eec,30,PL,10000,0.75,233304,2118032,20.969
3875,N-be75eec,27,PL,10000,0.9,233252,2318900,15.301
3876,N-be75eec,23,PL,10000,0.9,233719,2325994,25.792
3880,N-be75eec,29,PL,10000,0.9,233149,2277205,19.453
3884,N-stabu70,26,PL,10,0.001,356591,2832445,30.41
3891,N-be75eec,19,PL,10000,0.9,233202,2456959,26.108
3893,N-stabu70,11,PL,10,0.001,356383,3203496,40.075
3898,N-stabu70,12,PL,10,0.001,357290,3108743,31.26
3900,N-stabu70,24,PL,10,0.001,357324,3090147,29.494
3905,N-stabu70,23,PL,10,0.001,357496,2999219,36.199
3908,N-stabu70,13,PL,10,0.01,358786,3247733,30.856
3909,N-stabu70,16,PL,10,0.001,356863,3394969,45.237
3910,N-stabu70,15,PL,10,0.001,356707,2919068,47.522
3911,N-stabu70,13,PL,10,0.001,357686,3556997,37.219
3912,N-stabu70,27,PL,10,0.001,356668,3549888,33.859
3915,N-stabu70,17,PL,10,0.001,356752,3371208,30.026
3917,N-stabu70,19,PL,10,0.01,359466,3037551,30.721
3918,N-stabu70,28,PL,10,0.001,357546,3540960,41.312
3919,N-stabu70,14,PL,10,0.001,356430,3080092,46.973
3920,N-stabu70,25,PL,10,0.01,359442,3022172,30.501
3921,N-stabu70,16,PL,10,0.01,359009,1965588,30.773
3922,N-stabu70,25,PL,10,0.001,356473,2783091,29.504
3923,N-stabu70,22,PL,10,0.001,356682,3502616,50.6
3924,N-stabu70,30,PL,10,0.01,359005,2413108,30.68
3925,N-stabu70,18,PL,10,0.001,357517,3463360,52.506
3926,N-stabu70,29,PL,10,0.01,359302,3390554,42.988
3927,N-stabu70,15,PL,10,0.01,358862,1621810,35.834
3928,N-stabu70,20,PL,10,0.01,359560,2264809,33.185
3929,N-stabu70,19,PL,10,0.001,356510,3187755,36.599
3930,N-stabu70,30,PL,10,0.001,356662,3505759,47.523
3931,N-stabu70,29,PL,10,0.001,356392,3558455,50.998
3932,N-stabu70,11,PL,10,0.01,359456,2636825,34.835
3933,N-stabu70,14,PL,10,0.01,359607,1972915,40.557
3934,N-stabu70,23,PL,10,0.01,359213,2443043,35.646
3935,N-stabu70,24,PL,10,0.01,359561,2975494,51.7
3936,N-stabu70,26,PL,10,0.05,359482,392604,31.903
3937,N-stabu70,20,PL,10,0.001,357523,3351141,49.576
3938,N-stabu70,26,PL,10,0.01,359589,2291213,54.338
3939,N-stabu70,28,PL,10,0.01,359634,2986385,50.322
3940,N-stabu70,12,PL,10,0.05,359456,1211013,30.578
