,instance,repetition,algorithm,lambda,alpha,best fitness,evals,elapsed time in secs
103,N-be75eec,9,PL,10,0.05,234973,1173385,14.437
104,N-be75eec,8,PL,100,0.5,234143,2324951,24.248
105,N-be75eec,10,PL,100,0.1,234184,1705896,14.624
107,N-be75eec,4,PL,100,0.1,234208,1072567,14.729
108,N-be75eec,9,PL,10,0.01,233939,933863,27.967
109,N-be75eec,10,PL,100,0.01,233406,2023031,14.704
111,N-be75eec,7,PL,100,0.001,228632,2426981,20.407
112,N-be75eec,1,PL,10,0.001,233006,2103730,27.463
113,N-be75eec,2,PL,100,0.5,234226,158467,24.434
114,N-be75eec,8,PL,1000,0.001,210603,2467672,15.708
116,N-be75eec,6,PL,10,0.9,235205,1257219,17.287
117,N-be75eec,5,PL,100,0.9,234911,873690,24.323
118,N-be75eec,2,PL,100,0.05,234085,1935215,14.624
119,N-be75eec,10,PL,10,0.75,235336,257326,23.208
122,N-be75eec,7,PL,10,0.75,235238,1143641,22.665
123,N-be75eec,5,PL,1000,0.001,209032,2089184,13.488
125,N-be75eec,9,PL,10,0.9,235115,1522518,22.688
126,N-be75eec,2,PL,10,0.9,234964,2078724,21.95
127,N-be75eec,3,PL,1000,0.01,228627,2221574,13.325
128,N-be75eec,2,PL,10,0.05,234163,2153373,28.278
132,N-be75eec,1,PL,100,0.001,228638,2066425,20.579
133,N-be75eec,4,PL,10,0.01,234147,2484825,27.386
134,N-be75eec,10,PL,10,0.9,235051,711763,22.766
136,N-be75eec,8,PL,10,0.9,235011,824902,21.835
139,N-be75eec,4,PL,10,0.9,235192,1419239,22.641
140,N-be75eec,10,PL,10,0.001,233104,2232844,27.394
141,N-be75eec,3,PL,1000,0.001,213557,2207287,12.545
142,N-be75eec,9,PL,100,0.5,234250,1288437,24.402
143,N-be75eec,5,PL,10,0.75,235507,1759397,22.385
144,N-be75eec,7,PL,10,0.5,235517,1236592,22.789
146,N-be75eec,9,PL,1000,0.001,209372,2469610,14.021
147,N-be75eec,6,PL,10,0.1,234200,1928570,22.484
148,N-be75eec,7,PL,100,0.75,234190,2216868,23.892
149,N-be75eec,6,PL,10,0.05,234855,1636442,27.93
152,N-be75eec,6,PL,10,0.5,235500,883350,22.799
153,N-be75eec,9,PL,10,0.001,233145,2333675,27.568
154,N-be75eec,6,PL,10,0.01,234084,2380060,28.466
155,N-be75eec,4,PL,100,0.5,234187,2427782,24.544
156,N-be75eec,4,PL,1000,0.001,208011,2391179,12.911
158,N-be75eec,1,PL,10,0.05,234893,1620061,28.621
160,N-be75eec,3,PL,10,0.9,234959,1177937,22.594
161,N-be75eec,5,PL,10,0.01,233858,1023636,28.332
162,N-be75eec,7,PL,10,0.9,234959,980616,21.801
164,N-be75eec,2,PL,100,0.9,234183,2391112,23.767
169,N-be75eec,6,PL,10,0.001,233286,2464075,27.952
171,N-be75eec,10,PL,1000,0.001,207098,2229130,12.944
172,N-be75eec,3,PL,1000,0.1,233410,2307000,13.368
173,N-be75eec,2,PL,10,0.01,234158,2095173,27.48
179,N-be75eec,5,PL,1000,0.01,229039,2265893,13.637
180,N-be75eec,5,PL,10,0.05,234159,1332778,27.641
182,N-be75eec,1,PL,100,0.5,234161,1868864,24.455
183,N-be75eec,10,PL,1000,0.05,232628,2459024,14.851
186,N-be75eec,5,PL,1000,0.05,232761,2252408,12.983
191,N-be75eec,6,PL,100,0.9,234199,1131834,23.832
192,N-be75eec,5,PL,100,0.5,234175,1737793,24.41
194,N-be75eec,2,PL,1000,0.001,208477,2026735,13.409
195,N-be75eec,2,PL,100,0.75,234181,558869,24.453
196,N-be75eec,7,PL,1000,0.01,228786,2476999,12.774
197,N-be75eec,10,PL,100,0.9,235083,1504971,13.645
198,N-be75eec,8,PL,1000,0.01,228491,2272639,13.372
200,N-be75eec,6,PL,100,0.75,234235,2255481,23.94
201,N-be75eec,9,PL,100,0.9,234288,299087,24.239
202,N-be75eec,8,PL,100,0.9,234215,1260631,24.307
204,N-be75eec,1,PL,100,0.9,234207,2389692,23.822
207,N-be75eec,9,PL,100,0.75,235048,2122224,24.664
210,N-be75eec,9,PL,1000,0.01,229042,2127669,23.369
211,N-be75eec,8,PL,1000,0.05,233077,2257199,13.049
212,N-be75eec,10,PL,1000,0.01,228043,2432101,12.603
213,N-be75eec,7,PL,1000,0.001,207699,2140934,12.568
219,N-be75eec,6,PL,1000,0.5,233987,1534019,13.572
222,N-be75eec,2,PL,1000,0.5,234208,1413448,13.754
224,N-be75eec,4,PL,100,0.75,235005,1975063,25.006
225,N-be75eec,8,PL,1000,0.75,234142,1371983,13.947
226,N-be75eec,1,PL,1000,0.01,227988,2109806,15.835
228,N-be75eec,4,PL,100,0.9,234216,458820,24.463
233,N-be75eec,4,PL,1000,0.1,233301,2467066,13.431
234,N-be75eec,4,PL,1000,0.9,234146,1418551,13.685
235,N-be75eec,9,PL,1000,0.05,232411,2267644,21.189
237,N-be75eec,1,PL,10000,0.001,199787,2306464,13.158
239,N-be75eec,10,PL,1000,0.75,234125,1084952,13.782
240,N-be75eec,5,PL,1000,0.75,234192,2217627,15.625
241,N-be75eec,10,PL,1000,0.5,234202,2337943,14.575
242,N-be75eec,4,PL,1000,0.05,232606,2307684,17.647
245,N-be75eec,2,PL,1000,0.01,228743,2474224,19.115
246,N-be75eec,3,PL,1000,0.5,234135,2261840,16.672
250,N-be75eec,6,PL,1000,0.05,232858,2323501,16.636
251,N-be75eec,6,PL,1000,0.1,233642,2386863,13.375
253,N-be75eec,5,PL,1000,0.1,233355,2380763,18.185
254,N-be75eec,6,PL,1000,0.01,228162,2315719,13.362
255,N-be75eec,3,PL,1000,0.05,232658,2245840,26.25
261,N-be75eec,1,PL,1000,0.1,233389,2135267,14.425
